No.,Name,Pos.,Lineup1,Lineup2,Lineup3,Lineup4,Lineup5,Points by Set1,Points by Set2,Points by Set3,Points by Set4,222,Points by Set5
2 ,KOVAR ,OH,9,4,,,,,,1,,,
4 ,VETTORI, O,,9,3,3,3,,,2,2,5,1.0
5 ,JUANTORENA ,OH,3,3,1,1,1,7.0,,1,4,4,5.0
6 ,GIANNELLI, S,2,2,6,6,6,1.0,,1,1,,1.0
9 ,ZAYTSEV  ,OH,5,5,,,,2.0,,2,,,
11, PIANO ,MB,4,,,,,2.0,,,,,
13, COLACI, L,L,L,L,L,L,,,,,,
14, GALASSI ,MB,1,1,5,4,5,3.0,,4,1,,1.0
15, SBERTOLI, S,11,17,,,17,,,,,,
17, ANZANI ,MB,,4,2,2,2,,,3,1,1,1.0
18, MICHIELETTO ,OH,6,6,4,5,4,6.0,,4,5,5,4.0
19, LAVIA ,OH,,5,,,,,,,,,
