Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort
FUJII Naonobu,0.0,4.0,3.0,7.0,0.0,22,0.09
ISHIKAWA Yuki,9.0,24.0,9.0,42.0,0.41,22,0.72
NISHIDA Yuji,5.0,16.0,15.0,36.0,0.23,22,0.64
ONODERA Taishi,10.0,40.0,22.0,72.0,0.45,22,1.14
OTSUKA Tatsunori,0.0,0.0,0.0,0.0,0.0,22,0.0
RI Haku,0.0,3.0,4.0,7.0,0.0,22,0.1
SEKITA Masahiro,3.0,11.0,12.0,26.0,0.14,22,0.46
SHIMIZU Kunihiro,1.0,2.0,0.0,3.0,0.05,22,0.05
TAKAHASHI Ran,1.0,14.0,6.0,21.0,0.05,22,0.25
TAKANASHI Kenta,2.0,3.0,4.0,9.0,0.09,22,0.2
YAMAMOTO Tomohiro,0.0,1.0,1.0,2.0,0.0,22,0.03
YAMAUCHI Akihiro,6.0,31.0,12.0,49.0,0.27,22,0.69
BOGDAN Denis,0.0,0.0,1.0,1.0,0.0,30,0.02
GOLUBEV Valentin,0.0,1.0,0.0,1.0,0.0,30,0.0
IAKOVLEV Ivan,21.0,64.0,49.0,134.0,0.7,30,1.73
KLIUKA Egor,6.0,18.0,8.0,32.0,0.2,30,0.39
KOBZAR Igor,2.0,12.0,19.0,33.0,0.07,30,0.42
KURKAEV Ilyas,2.0,15.0,8.0,25.0,0.07,30,0.25
MIKHAYLOV Maxim,14.0,17.0,21.0,52.0,0.47,30,0.87
PANKOV Pavel,2.0,5.0,9.0,16.0,0.07,30,0.23
PODLESNYKH Yaroslav,1.0,3.0,4.0,8.0,0.03,30,0.11
POLETAEV Victor,0.0,2.0,0.0,2.0,0.0,30,0.01
VOLKOV Dmitry,18.0,16.0,24.0,58.0,0.6,30,1.05
VOLVICH Artem,11.0,21.0,39.0,71.0,0.37,30,1.09
CONTE Facundo,7.0,33.0,19.0,59.0,0.2,35,0.57
DANANI Santiago,0.0,0.0,0.0,0.0,0.0,35,0.0
LIMA Bruno,10.0,35.0,26.0,71.0,0.29,35,0.76
LOSER Agustin,22.0,44.0,41.0,107.0,0.63,35,1.34
MENDEZ Nicolas,0.0,0.0,0.0,0.0,0.0,35,0.0
PALACIOS Ezequiel,10.0,16.0,16.0,42.0,0.29,35,0.56
PEREYRA Federico,2.0,0.0,0.0,2.0,0.06,35,0.06
POGLAJEN Cristian,2.0,7.0,6.0,15.0,0.06,35,0.16
RAMOS Martin,2.0,8.0,2.0,12.0,0.06,35,0.11
SANCHEZ Matias,0.0,2.0,2.0,4.0,0.0,35,0.03
SOLE Sebastian,14.0,53.0,39.0,106.0,0.4,35,1.11
de CECCO Luciano,6.0,22.0,18.0,46.0,0.17,35,0.49
BORGES ALMEIDA SILVA Mauricio,0.0,1.0,0.0,1.0,0.0,32,0.0
CORREIA De SOUZA Douglas,0.0,3.0,3.0,6.0,0.0,32,0.06
De SOUZA Mauricio Luiz,10.0,44.0,28.0,82.0,0.31,32,0.89
De SOUZA Wallace,15.0,29.0,22.0,66.0,0.47,32,0.9
GIL KRELING Fernando,2.0,0.0,2.0,4.0,0.06,32,0.09
HOSS Thales,0.0,0.0,0.0,0.0,0.0,32,0.0
LEAL HIDALGO Yoandy,6.0,21.0,11.0,38.0,0.19,32,0.42
REZENDE Bruno Mossa,7.0,31.0,30.0,68.0,0.22,32,0.78
SAATKAMP Lucas,21.0,54.0,47.0,122.0,0.66,32,1.56
SANTOS Isac,2.0,4.0,10.0,16.0,0.06,32,0.23
SOUZA Alan,0.0,5.0,4.0,9.0,0.0,32,0.08
SOUZA Ricardo Lucarelli,7.0,25.0,16.0,48.0,0.22,32,0.55
BOYER Stephen,2.0,5.0,3.0,10.0,0.06,33,0.12
BRIZARD Antoine,7.0,20.0,8.0,35.0,0.21,33,0.39
BULTOR Daryl,0.0,1.0,0.0,1.0,0.0,33,0.0
CHINENYEZE Barthelemy,20.0,59.0,44.0,123.0,0.61,33,1.45
CLEVENOT Trevor,9.0,22.0,12.0,43.0,0.27,33,0.52
GREBENNIKOV Jenia,0.0,0.0,0.0,0.0,0.0,33,0.0
LOUATI Yacine,0.0,0.0,0.0,0.0,0.0,33,0.0
NGAPETH Earvin,6.0,28.0,15.0,49.0,0.18,33,0.49
PATRY Jean,13.0,22.0,22.0,57.0,0.39,33,0.79
TILLIE Kevin,0.0,1.0,1.0,2.0,0.0,33,0.02
TONIUTTI Benjamin,1.0,10.0,10.0,21.0,0.03,33,0.21
le GOFF Nicolas,20.0,57.0,45.0,122.0,0.61,33,1.46
BANN Blair Cameron,0.0,0.0,0.0,0.0,0.0,21,0.0
BLANKENAU Jay,2.0,4.0,1.0,7.0,0.1,21,0.14
HOAG Nicholas,5.0,9.0,12.0,26.0,0.24,21,0.57
MAAR Stephen Timothy,3.0,4.0,4.0,11.0,0.14,21,0.26
MARSHALL Steven,0.0,0.0,0.0,0.0,0.0,21,0.0
PERRIN John Gordon,7.0,17.0,11.0,35.0,0.33,21,0.68
SANDERS Tyler,1.0,5.0,10.0,16.0,0.05,21,0.31
SCLATER Ryan Joseph,1.0,6.0,9.0,16.0,0.05,21,0.29
SZWARC Arthur,1.0,6.0,5.0,12.0,0.05,21,0.2
VERNONEVANS Sharone,6.0,8.0,8.0,22.0,0.29,21,0.51
VIGRASS Graham,4.0,22.0,31.0,57.0,0.19,21,1.03
van BERKEL Lucas,14.0,30.0,25.0,69.0,0.67,21,1.4
EBADIPOUR GHARA H. Milad,6.0,16.0,9.0,31.0,0.3,20,0.6
GHAFOUR Amir,2.0,12.0,10.0,24.0,0.1,20,0.41
GHOLAMI Masoud,3.0,2.0,5.0,10.0,0.15,20,0.29
KARIMISOUCHELMAEI Javad,1.0,1.0,8.0,10.0,0.05,20,0.26
KAZEMI Saber,1.0,2.0,4.0,7.0,0.05,20,0.16
MARANDI Mahdi,0.0,0.0,1.0,1.0,0.0,20,0.02
MAROUFLAKRANI Mir Saeid,2.0,7.0,11.0,20.0,0.1,20,0.41
MOJARAD Aliasghar,9.0,28.0,25.0,62.0,0.45,20,1.22
MOUSAVI ERAGHI Seyed Mohammad,12.0,20.0,21.0,53.0,0.6,20,1.23
SALEHI Arman,0.0,0.0,1.0,1.0,0.0,20,0.02
SALEHI Meisam,7.0,17.0,12.0,36.0,0.35,20,0.74
SHARIFI Morteza,1.0,1.0,2.0,4.0,0.05,20,0.11
ARIAS GUZMAN Luis Antonio,0.0,2.0,2.0,4.0,0.0,16,0.08
CANELO SANCHEZ Eliecer Alfonso,0.0,0.0,0.0,0.0,0.0,16,0.0
CARRASCO ANGULO Jose Manuel,1.0,6.0,5.0,12.0,0.06,16,0.26
FAYOLA HURTADO Ronald Daniel,6.0,11.0,7.0,24.0,0.38,16,0.66
GONZALEZ Fernando,0.0,2.0,0.0,2.0,0.0,16,0.01
MATA Hector,0.0,0.0,0.0,0.0,0.0,16,0.0
ORAMAS BRIZUELA Robert Manuel,0.0,4.0,1.0,5.0,0.0,16,0.06
RIVAS QUIJADA Willner Enrique,3.0,13.0,4.0,20.0,0.19,16,0.39
RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,3.0,4.0,8.0,0.06,16,0.21
VALENCIA GONZALEZ Edson Alberto,6.0,19.0,20.0,45.0,0.38,16,1.12
