Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
CONTE Facundo,7.0,33.0,19.0,59.0,0.2,35,0.57,ARG
DANANI Santiago,0.0,0.0,0.0,0.0,0.0,35,0.0,ARG
LIMA Bruno,10.0,35.0,26.0,71.0,0.29,35,0.76,ARG
LOSER Agustin,22.0,44.0,41.0,107.0,0.63,35,1.34,ARG
MENDEZ Nicolas,0.0,0.0,0.0,0.0,0.0,35,0.0,ARG
PALACIOS Ezequiel,10.0,16.0,16.0,42.0,0.29,35,0.56,ARG
PEREYRA Federico,2.0,0.0,0.0,2.0,0.06,35,0.06,ARG
POGLAJEN Cristian,2.0,7.0,6.0,15.0,0.06,35,0.16,ARG
RAMOS Martin,2.0,8.0,2.0,12.0,0.06,35,0.11,ARG
SANCHEZ Matias,0.0,2.0,2.0,4.0,0.0,35,0.03,ARG
SOLE Sebastian,14.0,53.0,39.0,106.0,0.4,35,1.11,ARG
de CECCO Luciano,6.0,22.0,18.0,46.0,0.17,35,0.49,ARG
