Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
BORGES ALMEIDA SILVA Mauricio,0.0,1.0,0.0,1.0,0.0,32,0.0,BRA
CORREIA De SOUZA Douglas,0.0,3.0,3.0,6.0,0.0,32,0.06,BRA
De SOUZA Mauricio Luiz,10.0,44.0,28.0,82.0,0.31,32,0.89,BRA
De SOUZA Wallace,15.0,29.0,22.0,66.0,0.47,32,0.9,BRA
GIL KRELING Fernando,2.0,0.0,2.0,4.0,0.06,32,0.09,BRA
HOSS Thales,0.0,0.0,0.0,0.0,0.0,32,0.0,BRA
LEAL HIDALGO Yoandy,6.0,21.0,11.0,38.0,0.19,32,0.42,BRA
REZENDE Bruno Mossa,7.0,31.0,30.0,68.0,0.22,32,0.78,BRA
SAATKAMP Lucas,21.0,54.0,47.0,122.0,0.66,32,1.56,BRA
SANTOS Isac,2.0,4.0,10.0,16.0,0.06,32,0.23,BRA
SOUZA Alan,0.0,5.0,4.0,9.0,0.0,32,0.08,BRA
SOUZA Ricardo Lucarelli,7.0,25.0,16.0,48.0,0.22,32,0.55,BRA
