Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
FUJII Naonobu,0.0,4.0,3.0,7.0,0.0,22,0.09,JPN
ISHIKAWA Yuki,9.0,24.0,9.0,42.0,0.41,22,0.72,JPN
NISHIDA Yuji,5.0,16.0,15.0,36.0,0.23,22,0.64,JPN
ONODERA Taishi,10.0,40.0,22.0,72.0,0.45,22,1.14,JPN
OTSUKA Tatsunori,0.0,0.0,0.0,0.0,0.0,22,0.0,JPN
RI Haku,0.0,3.0,4.0,7.0,0.0,22,0.1,JPN
SEKITA Masahiro,3.0,11.0,12.0,26.0,0.14,22,0.46,JPN
SHIMIZU Kunihiro,1.0,2.0,0.0,3.0,0.05,22,0.05,JPN
TAKAHASHI Ran,1.0,14.0,6.0,21.0,0.05,22,0.25,JPN
TAKANASHI Kenta,2.0,3.0,4.0,9.0,0.09,22,0.2,JPN
YAMAMOTO Tomohiro,0.0,1.0,1.0,2.0,0.0,22,0.03,JPN
YAMAUCHI Akihiro,6.0,31.0,12.0,49.0,0.27,22,0.69,JPN
