Name,Points,Errors,In-Play,Total Attempts,by Set,Set,Effort,Country
AGREBI Omar,7.0,26.0,7.0,40.0,0.39,18,0.73,TUN
BEN CHEIKH Mehdi,0.0,0.0,0.0,0.0,0.0,18,0.0,TUN
BEN OTHMEN MILADI Mohamed Ali,4.0,12.0,11.0,27.0,0.22,18,0.59,TUN
BEN SLIMENE Khaled,3.0,20.0,20.0,43.0,0.17,18,0.83,TUN
BEN TARA Wassim,8.0,20.0,10.0,38.0,0.44,18,0.83,TUN
BOUGUERRA Aymen,0.0,3.0,1.0,4.0,0.0,18,0.04,TUN
HMISSI Saddem,0.0,0.0,0.0,0.0,0.0,18,0.0,TUN
KADHI Ahmed,10.0,33.0,24.0,67.0,0.56,18,1.41,TUN
KARAMOSLI Elyes,0.0,5.0,1.0,6.0,0.0,18,0.06,TUN
MBAREKI Selim,0.0,8.0,4.0,12.0,0.0,18,0.16,TUN
MOALLA Ismail,4.0,14.0,8.0,26.0,0.22,18,0.52,TUN
NAGGA Hamza,0.0,4.0,2.0,6.0,0.0,18,0.08,TUN
