,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,19,RIVAS QUIJADA Willner Enrique,13.0,5,8,26,30.77
1,5,RODRIGUEZ GONZALEZ Emerson Alexand.,6.0,9,2,17,
2,17,FAYOLA HURTADO Ronald Daniel,5.0,2,5,12,
3,7,VALENCIA GONZALEZ Edson Alberto,5.0,3,4,12,
4,11,VERDI Jose,7.0,, 1,8,
5,15,ARIAS GUZMAN Luis Antonio,1.0,2,2,5,
6,9,CARRASCO ANGULO Jose Manuel,1.0,,, 1,
7,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
8,3,GONZALEZ Fernando,,,, ,
9,4,MATA Hector,,,, ,
10,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,38.0,21,22,81,20.99
