,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,17,HOSS Thales,9,9.0,4,22,1.8
1, 1,REZENDE Bruno Mossa,6,3.0,6,15,1.2
2, 8,De SOUZA Wallace,4,4.0,4,12,0.8
3,18,SOUZA Ricardo Lucarelli,3,4.0,6,13,0.6
4, 9,LEAL HIDALGO Yoandy,2,, 1,3,0.4
5,14,CORREIA De SOUZA Douglas,1,2.0,1,4,0.2
6,13,De SOUZA Mauricio Luiz,1,3.0,, 4,0.2
7,21,SOUZA Alan,1,, 1,2,0.2
8,16,SAATKAMP Lucas,,1.0,, 1,0.0
9,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
10,6,GIL KRELING Fernando,,,, ,
11,12,SANTOS Isac,,,, ,
12,ls,,27,26.0,23,76,5.4
