,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,CARRASCO ANGULO Jose Manuel,19,1.0,34,54,6.33
1, 4,MATA Hector,2,, 5,7,0.67
2, 1,VELAZQUEZ ESCALANTE Armando Fernan.,1,, 5,6,0.33
3, 7,VALENCIA GONZALEZ Edson Alberto,1,, 2,3,0.33
4, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1,,, 1,0.33
5,17,FAYOLA HURTADO Ronald Daniel,,, 3,3,0.0
6,14,CANELO SANCHEZ Eliecer Alfonso,,, 1,1,0.0
7,15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
8,3,GONZALEZ Fernando,,,, ,
9,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
10,11,VERDI Jose,,,, ,
11,19,RIVAS QUIJADA Willner Enrique,,,, ,
12,ls,,24,1.0,51,76,8.0
