No.,Name,Excellents,Errors,In-Play,Attempts,%
17,FAYOLA HURTADO Ronald Daniel,12,, 12,24,50.0
4,MATA Hector,6,1.0,6,13,
11,VERDI Jose,5,, 3,8,
19,RIVAS QUIJADA Willner Enrique,2,2.0,2,6,
7,VALENCIA GONZALEZ Edson Alberto,,1.0,3,4,
14,CANELO SANCHEZ Eliecer Alfonso,3,1.0,, 4,
6,ORAMAS BRIZUELA Robert Manuel,,, 1,1,
9,CARRASCO ANGULO Jose Manuel,,1.0,, 1,
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
3,GONZALEZ Fernando,,,, ,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,28,6.0,27,61,45.9
