No.,Name,Points,Errors,In-Play,Attempts,%
17,FAYOLA HURTADO Ronald Daniel,8.0,5,5,18,16.67
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,7.0,5,9,21,9.52
19,RIVAS QUIJADA Willner Enrique,2.0,3,9,14,
15,ARIAS GUZMAN Luis Antonio,1.0,4,3,8,
7,VALENCIA GONZALEZ Edson Alberto,5.0,, 1,6,
11,VERDI Jose,2.0,, 4,6,
14,CANELO SANCHEZ Eliecer Alfonso,, 2,1,3,
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
3,GONZALEZ Fernando,,,, ,
4,MATA Hector,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,CARRASCO ANGULO Jose Manuel,,,, ,
ls,,25.0,19,32,76,7.89
