,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,CARRASCO ANGULO Jose Manuel,24,1.0,29,54,8.0
1, 1,VELAZQUEZ ESCALANTE Armando Fernan.,11,, 12,23,3.67
2, 4,MATA Hector,2,, 2,4,0.67
3,17,FAYOLA HURTADO Ronald Daniel,,, 1,1,0.0
4,3,GONZALEZ Fernando,,,, ,
5,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
6,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
7,7,VALENCIA GONZALEZ Edson Alberto,,,, ,
8,11,VERDI Jose,,,, ,
9,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
10,15,ARIAS GUZMAN Luis Antonio,,,, ,
11,19,RIVAS QUIJADA Willner Enrique,,,, ,
12,ls,,37,1.0,44,82,12.33
