,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,19,RIVAS QUIJADA Willner Enrique,18,, 6,24,75.0
1,17,FAYOLA HURTADO Ronald Daniel,15,2.0,10,27,55.56
2,4,MATA Hector,7,1.0,3,11,
3,11,VERDI Jose,1,, 2,3,
4,7,VALENCIA GONZALEZ Edson Alberto,1,,, 1,
5,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
6,3,GONZALEZ Fernando,,,, ,
7,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
8,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,9,CARRASCO ANGULO Jose Manuel,,,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,42,3.0,21,66,63.64
