No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,CARRASCO ANGULO Jose Manuel,24,1.0,29,54,8.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,11,, 12,23,3.67
 4,MATA Hector,2,, 2,4,0.67
17,FAYOLA HURTADO Ronald Daniel,,, 1,1,0.0
3,GONZALEZ Fernando,,,, ,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
7,VALENCIA GONZALEZ Edson Alberto,,,, ,
11,VERDI Jose,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
19,RIVAS QUIJADA Willner Enrique,,,, ,
ls,,37,1.0,44,82,12.33
