No.,Name,Excellents,Errors,In-Play,Attempts,%
19,RIVAS QUIJADA Willner Enrique,18,, 6,24,75.0
17,FAYOLA HURTADO Ronald Daniel,15,2.0,10,27,55.56
4,MATA Hector,7,1.0,3,11,
11,VERDI Jose,1,, 2,3,
7,VALENCIA GONZALEZ Edson Alberto,1,,, 1,
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
3,GONZALEZ Fernando,,,, ,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,CARRASCO ANGULO Jose Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,42,3.0,21,66,63.64
