No.,Name,Points,Errors,In-Play,Total Attempts,by Set
17,FAYOLA HURTADO Ronald Daniel,3.0,4,1,8,1.0
 9,CARRASCO ANGULO Jose Manuel,1.0,1,2,4,0.33
19,RIVAS QUIJADA Willner Enrique,1.0,3,, 4,0.33
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,1,, 2,0.33
 7,VALENCIA GONZALEZ Edson Alberto,, 5,6,11,0.0
11,VERDI Jose,, 3,1,4,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,, 2,, 2,0.0
3,GONZALEZ Fernando,,,, ,
4,MATA Hector,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,6.0,19,10,35,2.0
