,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 2,EBADIPOUR GHARA H. Milad,2.0,3,15,20,0.5
1,11,KAZEMI Saber,2.0,3,7,12,0.5
2,10,GHAFOUR Amir,1.0,2,8,11,0.25
3, 6,MOUSAVI ERAGHI Seyed Mohammad,, 4,11,15,0.0
4,17,SALEHI Meisam,, 5,7,12,0.0
5,15,MOJARAD Aliasghar,, 1,10,11,0.0
6, 4,MAROUFLAKRANI Mir Saeid,, 1,8,9,0.0
7,24,KARIMISOUCHELMAEI Javad,, 2,3,5,0.0
8,12,SHARIFI Morteza,, 1,, 1,0.0
9,9,GHOLAMI Masoud,,,, ,
10,19,MARANDI Mahdi,,,, ,
11,21,SALEHI Arman,,,, ,
12,ls,,5.0,22,69,96,1.25
