,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 1,VELAZQUEZ ESCALANTE Armando Fernan.,4,1.0,1,6,1.33
1, 4,MATA Hector,3,7.0,3,13,1.0
2,19,RIVAS QUIJADA Willner Enrique,2,6.0,1,9,0.67
3, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2,1.0,, 3,0.67
4, 9,CARRASCO ANGULO Jose Manuel,2,1.0,, 3,0.67
5, 7,VALENCIA GONZALEZ Edson Alberto,1,3.0,2,6,0.33
6,15,ARIAS GUZMAN Luis Antonio,1,1.0,, 2,0.33
7,11,VERDI Jose,1,,, 1,0.33
8,17,FAYOLA HURTADO Ronald Daniel,,4.0,1,5,0.0
9, 3,GONZALEZ Fernando,,2.0,, 2,0.0
10, 6,ORAMAS BRIZUELA Robert Manuel,,1.0,, 1,0.0
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,16,27.0,8,51,5.33
