,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,17,FAYOLA HURTADO Ronald Daniel,13,1.0,14,28,46.43
1,19,RIVAS QUIJADA Willner Enrique,11,, 3,14,
2,4,MATA Hector,6,1.0,, 7,
3,7,VALENCIA GONZALEZ Edson Alberto,4,, 1,5,
4,3,GONZALEZ Fernando,,, 2,2,
5,6,ORAMAS BRIZUELA Robert Manuel,1,,, 1,
6,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
7,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
8,9,CARRASCO ANGULO Jose Manuel,,,, ,
9,11,VERDI Jose,,,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,35,2.0,20,57,61.4
