,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,19,RIVAS QUIJADA Willner Enrique,7.0,4,14,25,12.0
1, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,6.0,5,2,13,7.69
2,17,FAYOLA HURTADO Ronald Daniel,5.0,2,4,11,
3,15,ARIAS GUZMAN Luis Antonio,5.0,2,3,10,
4,7,VALENCIA GONZALEZ Edson Alberto,4.0,1,2,7,
5,6,ORAMAS BRIZUELA Robert Manuel,1.0,, 3,4,
6,11,VERDI Jose,2.0,1,1,4,
7,9,CARRASCO ANGULO Jose Manuel,,, 1,1,
8,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
9,3,GONZALEZ Fernando,,,, ,
10,4,MATA Hector,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,30.0,15,30,75,20.0
