No.,Name,Points,Errors,In-Play,Total Attempts,by Set
17,FAYOLA HURTADO Ronald Daniel,, 1,8,9,0.0
19,RIVAS QUIJADA Willner Enrique,, 2,7,9,0.0
 7,VALENCIA GONZALEZ Edson Alberto,, 3,4,7,0.0
11,VERDI Jose,,, 6,6,0.0
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,, 2,4,6,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,,, 5,5,0.0
15,ARIAS GUZMAN Luis Antonio,, 1,4,5,0.0
 6,ORAMAS BRIZUELA Robert Manuel,, 1,3,4,0.0
 9,CARRASCO ANGULO Jose Manuel,, 1,3,4,0.0
 3,GONZALEZ Fernando,,, 1,1,0.0
4,MATA Hector,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
ls,,,11,45,56,0.0
