,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,19,BANN Blair Cameron,10,14.0,4,28,2.5
1, 4,HOAG Nicholas,7,3.0,, 10,1.75
2, 9,BLANKENAU Jay,4,2.0,, 6,1.0
3,13,VERNONEVANS Sharone,2,4.0,2,8,0.5
4, 2,PERRIN John Gordon,2,4.0,1,7,0.5
5, 7,MAAR Stephen Timothy,1,5.0,, 6,0.25
6, 1,SANDERS Tyler,1,2.0,2,5,0.25
7,12,van BERKEL Lucas,1,1.0,, 2,0.25
8,10,SCLATER Ryan Joseph,1,,, 1,0.25
9,20,SZWARC Arthur,,1.0,, 1,0.0
10,3,MARSHALL Steven,,,, ,
11,17,VIGRASS Graham,,,, ,
12,ls,,29,36.0,9,74,7.25
