,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 1,SANDERS Tyler,25,, 21,46,6.25
1, 9,BLANKENAU Jay,18,1.0,19,38,4.5
2,19,BANN Blair Cameron,4,, 4,8,1.0
3, 2,PERRIN John Gordon,1,, 3,4,0.25
4, 7,MAAR Stephen Timothy,1,, 2,3,0.25
5,13,VERNONEVANS Sharone,1,, 1,2,0.25
6,20,SZWARC Arthur,1,, 1,2,0.25
7, 4,HOAG Nicholas,1,,, 1,0.25
8,17,VIGRASS Graham,1,,, 1,0.25
9,12,van BERKEL Lucas,,, 1,1,0.0
10,3,MARSHALL Steven,,,, ,
11,10,SCLATER Ryan Joseph,,,, ,
12,ls,,53,1.0,52,106,13.25
