,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,17,SALEHI Meisam,2.0,5,19,26,0.4
1, 2,EBADIPOUR GHARA H. Milad,1.0,3,13,17,0.2
2, 6,MOUSAVI ERAGHI Seyed Mohammad,1.0,4,10,15,0.2
3,10,GHAFOUR Amir,1.0,4,8,13,0.2
4,24,KARIMISOUCHELMAEI Javad,1.0,2,7,10,0.2
5,15,MOJARAD Aliasghar,, 3,12,15,0.0
6,11,KAZEMI Saber,, 1,9,10,0.0
7, 4,MAROUFLAKRANI Mir Saeid,,, 5,5,0.0
8,9,GHOLAMI Masoud,,,, ,
9,12,SHARIFI Morteza,,,, ,
10,19,MARANDI Mahdi,,,, ,
11,21,SALEHI Arman,,,, ,
12,ls,,6.0,22,83,111,1.2
