,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 4,MATA Hector,6,6.0,1,13,2.0
1,19,RIVAS QUIJADA Willner Enrique,2,3.0,1,6,0.67
2, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2,1.0,, 3,0.67
3,17,FAYOLA HURTADO Ronald Daniel,1,4.0,3,8,0.33
4,11,VERDI Jose,1,3.0,, 4,0.33
5, 6,ORAMAS BRIZUELA Robert Manuel,1,,, 1,0.33
6, 1,VELAZQUEZ ESCALANTE Armando Fernan.,,3.0,2,5,0.0
7, 7,VALENCIA GONZALEZ Edson Alberto,,1.0,1,2,0.0
8, 3,GONZALEZ Fernando,,1.0,, 1,0.0
9,9,CARRASCO ANGULO Jose Manuel,,,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,13,22.0,8,43,4.33
