,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,11,VERDI Jose,1.0,5,7,13,0.33
1,17,FAYOLA HURTADO Ronald Daniel,1.0,2,1,4,0.33
2, 7,VALENCIA GONZALEZ Edson Alberto,, 6,1,7,0.0
3, 1,VELAZQUEZ ESCALANTE Armando Fernan.,, 1,2,3,0.0
4,19,RIVAS QUIJADA Willner Enrique,, 2,1,3,0.0
5, 6,ORAMAS BRIZUELA Robert Manuel,, 2,, 2,0.0
6, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 1,1,0.0
7,15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
8, 3,GONZALEZ Fernando,, 1,, 1,0.0
9,4,MATA Hector,,,, ,
10,9,CARRASCO ANGULO Jose Manuel,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,2.0,19,14,35,0.67
