,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0,11,VERDI Jose,1.0,, 9,10,0.33
1, 7,VALENCIA GONZALEZ Edson Alberto,1.0,2,6,9,0.33
2,19,RIVAS QUIJADA Willner Enrique,1.0,3,5,9,0.33
3, 1,VELAZQUEZ ESCALANTE Armando Fernan.,,- 1,11,12,0.0
4, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,- 3,4,7,0.0
5,17,FAYOLA HURTADO Ronald Daniel,,- 3,4,7,0.0
6, 3,GONZALEZ Fernando,,-, 1,1,0.0
7, 6,ORAMAS BRIZUELA Robert Manuel,,-, 1,1,0.0
8, 9,CARRASCO ANGULO Jose Manuel,,-, 1,1,0.0
9,4,MATA Hector,,-,, ,
10,14,CANELO SANCHEZ Eliecer Alfonso,,-,, ,
11,15,ARIAS GUZMAN Luis Antonio,,-,, ,
12,ls,,3.0,12,42,57,1.0
