No.,Name,Excellents,Errors,In-Play,Attempts,%
17,FAYOLA HURTADO Ronald Daniel,16,2.0,9,27,59.26
19,RIVAS QUIJADA Willner Enrique,7,, 7,14,50.0
4,MATA Hector,3,2.0,2,7,
11,VERDI Jose,2,, 1,3,
1,VELAZQUEZ ESCALANTE Armando Fernan.,1,,, 1,
3,GONZALEZ Fernando,,, 1,1,
6,ORAMAS BRIZUELA Robert Manuel,,, 1,1,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
7,VALENCIA GONZALEZ Edson Alberto,,,, ,
9,CARRASCO ANGULO Jose Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,29,4.0,21,54,53.7
