No.,Name,Points,Errors,In-Play,Total Attempts,by Set
11,VERDI Jose,1.0,5,7,13,0.33
17,FAYOLA HURTADO Ronald Daniel,1.0,2,1,4,0.33
 7,VALENCIA GONZALEZ Edson Alberto,, 6,1,7,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,, 1,2,3,0.0
19,RIVAS QUIJADA Willner Enrique,, 2,1,3,0.0
 6,ORAMAS BRIZUELA Robert Manuel,, 2,, 2,0.0
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 1,1,0.0
15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
 3,GONZALEZ Fernando,, 1,, 1,0.0
4,MATA Hector,,,, ,
9,CARRASCO ANGULO Jose Manuel,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
ls,,2.0,19,14,35,0.67
