,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0,19,BANN Blair Cameron,7,7,4.0,18,2.33
1, 2,PERRIN John Gordon,3,7,, 10,1.0
2, 4,HOAG Nicholas,2,3,1.0,6,0.67
3, 1,SANDERS Tyler,2,2,, 4,0.67
4, 7,MAAR Stephen Timothy,1,2,1.0,4,0.33
5,13,VERNONEVANS Sharone,,3,1.0,4,0.0
6,12,van BERKEL Lucas,,3,, 3,0.0
7,20,SZWARC Arthur,,1,1.0,2,0.0
8,10,SCLATER Ryan Joseph,,2,, 2,0.0
9, 3,MARSHALL Steven,,1,, 1,0.0
10, 9,BLANKENAU Jay,,1,, 1,0.0
11,17,VIGRASS Graham,,1,, 1,0.0
12,ls,,15,33,8.0,56,5.0
