,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 4,MATA Hector,5,11.0,1,17,1.25
1,17,FAYOLA HURTADO Ronald Daniel,3,5.0,, 8,0.75
2,19,RIVAS QUIJADA Willner Enrique,3,1.0,1,5,0.75
3,15,ARIAS GUZMAN Luis Antonio,2,6.0,, 8,0.5
4, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2,,, 2,0.5
5, 6,ORAMAS BRIZUELA Robert Manuel,1,, 1,2,0.25
6, 7,VALENCIA GONZALEZ Edson Alberto,1,1.0,, 2,0.25
7,14,CANELO SANCHEZ Eliecer Alfonso,1,1.0,, 2,0.25
8, 9,CARRASCO ANGULO Jose Manuel,,6.0,1,7,0.0
9, 3,GONZALEZ Fernando,,2.0,, 2,0.0
10,11,VERDI Jose,,2.0,, 2,0.0
11,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
12,ls,,18,35.0,4,57,4.5
