,Avg.Rk No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
0, 9,CARRASCO ANGULO Jose Manuel,28,, 29,57,7.0
1, 1,VELAZQUEZ ESCALANTE Armando Fernan.,4,,, 4,1.0
2, 4,MATA Hector,3,, 1,4,0.75
3,19,RIVAS QUIJADA Willner Enrique,2,, 1,3,0.5
4,17,FAYOLA HURTADO Ronald Daniel,1,, 1,2,0.25
5, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 2,2,0.0
6,15,ARIAS GUZMAN Luis Antonio,,, 2,2,0.0
7,3,GONZALEZ Fernando,,,, ,
8,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,7,VALENCIA GONZALEZ Edson Alberto,,,, ,
10,11,VERDI Jose,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,38,,36,74,9.5
