,TotalRk No.,Name,Excellents,Errors,In-Play,Attempts,%
0,19,RIVAS QUIJADA Willner Enrique,8,1.0,11,20,40.0
1,17,FAYOLA HURTADO Ronald Daniel,7,5.0,14,26,26.92
2,4,MATA Hector,11,3.0,3,17,
3,14,CANELO SANCHEZ Eliecer Alfonso,2,, 1,3,
4,3,GONZALEZ Fernando,,2.0,1,3,
5,7,VALENCIA GONZALEZ Edson Alberto,1,, 1,2,
6,11,VERDI Jose,2,,, 2,
7,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
8,5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
9,6,ORAMAS BRIZUELA Robert Manuel,,,, ,
10,9,CARRASCO ANGULO Jose Manuel,,,, ,
11,15,ARIAS GUZMAN Luis Antonio,,,, ,
12,ls,,31,11.0,31,73,42.47
