,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 7,VALENCIA GONZALEZ Edson Alberto,2.0,4,4,10,0.5
1,17,FAYOLA HURTADO Ronald Daniel,1.0,2,3,6,0.25
2,19,RIVAS QUIJADA Willner Enrique,1.0,1,1,3,0.25
3, 9,CARRASCO ANGULO Jose Manuel,, 3,1,4,0.0
4, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,, 1,1,2,0.0
5, 6,ORAMAS BRIZUELA Robert Manuel,, 1,1,2,0.0
6,11,VERDI Jose,,, 1,1,0.0
7,15,ARIAS GUZMAN Luis Antonio,,, 1,1,0.0
8, 3,GONZALEZ Fernando,, 1,, 1,0.0
9,1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
10,4,MATA Hector,,,, ,
11,14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
12,ls,,4.0,13,13,30,1.0
