,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 9,CARRASCO ANGULO Jose Manuel,1.0,, 11,12,0.25
1, 7,VALENCIA GONZALEZ Edson Alberto,1.0,5,6,12,0.25
2,19,RIVAS QUIJADA Willner Enrique,1.0,2,7,10,0.25
3, 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,1,2,4,0.25
4,15,ARIAS GUZMAN Luis Antonio,,- 3,6,9,0.0
5,17,FAYOLA HURTADO Ronald Daniel,,- 2,6,8,0.0
6, 6,ORAMAS BRIZUELA Robert Manuel,,- 1,6,7,0.0
7,11,VERDI Jose,,-, 4,4,0.0
8, 1,VELAZQUEZ ESCALANTE Armando Fernan.,,-, 2,2,0.0
9, 3,GONZALEZ Fernando,,-, 1,1,0.0
10,14,CANELO SANCHEZ Eliecer Alfonso,,- 1,, 1,0.0
11,4,MATA Hector,,-,, ,
12,ls,,4.0,15,51,70,1.0
