No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 4,MATA Hector,5,11.0,1,17,1.25
17,FAYOLA HURTADO Ronald Daniel,3,5.0,, 8,0.75
19,RIVAS QUIJADA Willner Enrique,3,1.0,1,5,0.75
15,ARIAS GUZMAN Luis Antonio,2,6.0,, 8,0.5
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2,,, 2,0.5
 6,ORAMAS BRIZUELA Robert Manuel,1,, 1,2,0.25
 7,VALENCIA GONZALEZ Edson Alberto,1,1.0,, 2,0.25
14,CANELO SANCHEZ Eliecer Alfonso,1,1.0,, 2,0.25
 9,CARRASCO ANGULO Jose Manuel,,6.0,1,7,0.0
 3,GONZALEZ Fernando,,2.0,, 2,0.0
11,VERDI Jose,,2.0,, 2,0.0
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
ls,,18,35.0,4,57,4.5
