No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
 9,CARRASCO ANGULO Jose Manuel,28,, 29,57,7.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,4,,, 4,1.0
 4,MATA Hector,3,, 1,4,0.75
19,RIVAS QUIJADA Willner Enrique,2,, 1,3,0.5
17,FAYOLA HURTADO Ronald Daniel,1,, 1,2,0.25
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,,, 2,2,0.0
15,ARIAS GUZMAN Luis Antonio,,, 2,2,0.0
3,GONZALEZ Fernando,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
7,VALENCIA GONZALEZ Edson Alberto,,,, ,
11,VERDI Jose,,,, ,
14,CANELO SANCHEZ Eliecer Alfonso,,,, ,
ls,,38,,36,74,9.5
