No.,Name,Excellents,Errors,In-Play,Attempts,%
19,RIVAS QUIJADA Willner Enrique,8,1.0,11,20,40.0
17,FAYOLA HURTADO Ronald Daniel,7,5.0,14,26,26.92
4,MATA Hector,11,3.0,3,17,
14,CANELO SANCHEZ Eliecer Alfonso,2,, 1,3,
3,GONZALEZ Fernando,,2.0,1,3,
7,VALENCIA GONZALEZ Edson Alberto,1,, 1,2,
11,VERDI Jose,2,,, 2,
1,VELAZQUEZ ESCALANTE Armando Fernan.,,,, ,
5,RODRIGUEZ GONZALEZ Emerson Alexand.,,,, ,
6,ORAMAS BRIZUELA Robert Manuel,,,, ,
9,CARRASCO ANGULO Jose Manuel,,,, ,
15,ARIAS GUZMAN Luis Antonio,,,, ,
ls,,31,11.0,31,73,42.47
