No.,Name,Points,Errors,In-Play,Total Attempts,by Set
 9,CARRASCO ANGULO Jose Manuel,1.0,, 11,12,0.25
 7,VALENCIA GONZALEZ Edson Alberto,1.0,5,6,12,0.25
19,RIVAS QUIJADA Willner Enrique,1.0,2,7,10,0.25
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,1,2,4,0.25
15,ARIAS GUZMAN Luis Antonio,,- 3,6,9,0.0
17,FAYOLA HURTADO Ronald Daniel,,- 2,6,8,0.0
 6,ORAMAS BRIZUELA Robert Manuel,,- 1,6,7,0.0
11,VERDI Jose,,-, 4,4,0.0
 1,VELAZQUEZ ESCALANTE Armando Fernan.,,-, 2,2,0.0
 3,GONZALEZ Fernando,,-, 1,1,0.0
14,CANELO SANCHEZ Eliecer Alfonso,,- 1,, 1,0.0
4,MATA Hector,,-,, ,
ls,,4.0,15,51,70,1.0
