,TotalRk No.,Name,Points,Errors,In-Play,Attempts,%
0,16,SAATKAMP Lucas,14.0,4,1,19,52.63
1,18,SOUZA Ricardo Lucarelli,9.0,4,9,22,22.73
2,14,CORREIA De SOUZA Douglas,11.0,6,5,22,22.73
3, 8,De SOUZA Wallace,12.0,9,13,34,8.82
4,9,LEAL HIDALGO Yoandy,4.0,1,9,14,
5,13,De SOUZA Mauricio Luiz,4.0,2,3,9,
6,21,SOUZA Alan,2.0,, 1,3,
7,1,REZENDE Bruno Mossa,,,, ,
8,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
9,6,GIL KRELING Fernando,,,, ,
10,12,SANTOS Isac,,,, ,
11,17,HOSS Thales,,,, ,
12,ls,,56.0,26,41,123,24.39
