,Avg.Rk No.,Name,Points,Errors,In-Play,Total Attempts,by Set
0, 8,De SOUZA Wallace,4.0,4,3,11,0.8
1,13,De SOUZA Mauricio Luiz,2.0,6,7,15,0.4
2,18,SOUZA Ricardo Lucarelli,2.0,8,2,12,0.4
3, 1,REZENDE Bruno Mossa,1.0,3,5,9,0.2
4, 6,GIL KRELING Fernando,1.0,, 1,2,0.2
5,16,SAATKAMP Lucas,, 5,3,8,0.0
6, 9,LEAL HIDALGO Yoandy,, 2,2,4,0.0
7,14,CORREIA De SOUZA Douglas,, 3,1,4,0.0
8,12,SANTOS Isac,, 1,, 1,0.0
9,5,BORGES ALMEIDA SILVA Mauricio,,,, ,
10,17,HOSS Thales,,,, ,
11,21,SOUZA Alan,,,, ,
12,ls,,10.0,32,24,66,2.0
