No.,Name,Excellents,Errors,In-Play,Total Attempts,by Set
17,HOSS Thales,13,8.0,2,23,3.25
 1,REZENDE Bruno Mossa,6,3.0,1,10,1.5
 9,LEAL HIDALGO Yoandy,3,2.0,5,10,0.75
 8,De SOUZA Wallace,2,5.0,2,9,0.5
18,SOUZA Ricardo Lucarelli,2,5.0,1,8,0.5
 5,BORGES ALMEIDA SILVA Mauricio,1,1.0,1,3,0.25
14,CORREIA De SOUZA Douglas,1,1.0,, 2,0.25
16,SAATKAMP Lucas,1,1.0,, 2,0.25
13,De SOUZA Mauricio Luiz,,2.0,, 2,0.0
21,SOUZA Alan,,1.0,, 1,0.0
6,GIL KRELING Fernando,,,, ,
12,SANTOS Isac,,,, ,
ls,,29,29.0,12,70,7.25
