Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANCHEZ Matias,,,4.0,4.0,0.0,,,,,,,,,,,,,,,,1.0,,,1.0,0.2, 1,,,1.0,1.0,0.0
PEREYRA Federico,,1.0,,1.0,0.0,,,,,,1.0,,,1.0,,,,,,,,,,,,2,,,,,
POGLAJEN Cristian,,1.0,2.0,3.0,0.0,,1.0,,1.0,0.0,,,,,,,,2.0,2.0,,,,,,, 6,,1.0,,1.0,0.0
CONTE Facundo,1.0,5.0,10.0,16.0,0.2,1.0,4.0,5.0,10.0,0.2,19.0,6.0,21.0,46.0,28.26,22.0,2.0,16.0,40.0,55.0,,,2.0,2.0,0.0, 7,1.0,4.0,5.0,10.0,0.2
LOSER Agustin,,2.0,13.0,15.0,0.0,7.0,7.0,9.0,23.0,1.4,7.0,,5.0,12.0,,,,,,,,,,,, 8,1.0,2.0,2.0,5.0,0.2
SOLE Sebastian,,1.0,19.0,20.0,0.0,3.0,10.0,3.0,16.0,0.6,9.0,1.0,4.0,14.0,,2.0,,1.0,3.0,,,,1.0,1.0,0.0,11,1.0,4.0,,5.0,0.2
LIMA Bruno,1.0,5.0,5.0,11.0,0.2,1.0,2.0,5.0,8.0,0.2,11.0,7.0,7.0,25.0,16.0,1.0,,,1.0,,,,1.0,1.0,0.0,12,2.0,3.0,1.0,6.0,0.4
PALACIOS Ezequiel,,4.0,7.0,11.0,0.0,3.0,3.0,1.0,7.0,0.6,10.0,6.0,10.0,26.0,15.38,7.0,,14.0,21.0,,1.0,,5.0,6.0,0.2,13,8.0,7.0,3.0,18.0,1.6
de CECCO Luciano,,3.0,20.0,23.0,0.0,2.0,1.0,3.0,6.0,0.4,1.0,,2.0,3.0,,,,,,,51.0,,54.0,105.0,10.2,15,5.0,1.0,1.0,7.0,1.0
MENDEZ Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,
RAMOS Martin,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,
DANANI Santiago,,,,,,,,,,,,,,,,12.0,2.0,5.0,19.0,,2.0,,2.0,4.0,0.4, 9,11.0,6.0,3.0,20.0,2.2
,total,22.0,80.0,104.0,0.4,17.0,28.0,26.0,71.0,3.4,58.0,20.0,49.0,127.0,29.92,44.0,4.0,38.0,86.0,51.16,55.0,,65.0,120.0,11.0,ls,29.0,28.0,16.0,73.0,5.8
