Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
REZENDE Bruno Mossa,,,18.0,18.0,0.0,1.0,3.0,5.0,9.0,0.2,,,,,,,,1.0,1.0,,42.0,1.0,48.0,91.0,8.4, 1,6.0,3.0,6.0,15.0,1.2
BORGES ALMEIDA SILVA Mauricio,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,5,,,,,
De SOUZA Wallace,1.0,3.0,9.0,13.0,0.2,4.0,4.0,3.0,11.0,0.8,12.0,9.0,13.0,34.0,8.82,,,,,,,,,,, 8,4.0,4.0,4.0,12.0,0.8
LEAL HIDALGO Yoandy,1.0,1.0,5.0,7.0,0.2,,2.0,2.0,4.0,0.0,4.0,1.0,9.0,14.0,,5.0,,8.0,13.0,,,,1.0,1.0,0.0, 9,2.0,,1.0,3.0,0.4
SANTOS Isac,,1.0,,1.0,0.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,12,,,,,
De SOUZA Mauricio Luiz,,2.0,10.0,12.0,0.0,2.0,6.0,7.0,15.0,0.4,4.0,2.0,3.0,9.0,,,,1.0,1.0,,,,1.0,1.0,0.0,13,1.0,3.0,,4.0,0.2
CORREIA De SOUZA Douglas,,,9.0,9.0,0.0,,3.0,1.0,4.0,0.0,11.0,6.0,5.0,22.0,22.73,10.0,,6.0,16.0,,,,,,,14,1.0,2.0,1.0,4.0,0.2
SAATKAMP Lucas,,4.0,14.0,18.0,0.0,,5.0,3.0,8.0,0.0,14.0,4.0,1.0,19.0,52.63,,,,,,,,,,,16,,1.0,,1.0,0.0
HOSS Thales,,,,,,,,,,,,,,,,12.0,1.0,2.0,15.0,,4.0,,8.0,12.0,0.8,17,9.0,9.0,4.0,22.0,1.8
SOUZA Ricardo Lucarelli,2.0,6.0,12.0,20.0,0.4,2.0,8.0,2.0,12.0,0.4,9.0,4.0,9.0,22.0,22.73,21.0,1.0,14.0,36.0,58.33,,,1.0,1.0,0.0,18,3.0,4.0,6.0,13.0,0.6
SOUZA Alan,,1.0,4.0,5.0,0.0,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,21,1.0,,1.0,2.0,0.2
GIL KRELING Fernando,,,,,,1.0,,1.0,2.0,0.2,,,,,,,,,,,9.0,,7.0,16.0,1.8,6,,,,,
,total,18.0,82.0,104.0,0.8,10.0,32.0,24.0,66.0,2.0,56.0,26.0,41.0,123.0,24.39,48.0,2.0,32.0,82.0,58.54,55.0,1.0,66.0,122.0,11.0,ls,27.0,26.0,23.0,76.0,5.4
