Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
CHINENYEZE Barthelemy,,,13.0,13.0,0.0,1.0,7.0,9.0,17.0,0.2,6.0,,3.0,9.0,,,,,,,1.0,,1.0,2.0,0.2, 1,4.0,2.0,1.0,7.0,0.8
PATRY Jean,2.0,2.0,17.0,21.0,0.4,1.0,3.0,1.0,5.0,0.2,12.0,5.0,14.0,31.0,22.58,,,,,,,,3.0,3.0,0.0, 4,2.0,6.0,4.0,12.0,0.4
TILLIE Kevin,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,7,,,,,
NGAPETH Earvin,3.0,6.0,7.0,16.0,0.6,2.0,4.0,1.0,7.0,0.4,21.0,5.0,14.0,40.0,40.0,19.0,1.0,17.0,37.0,51.35,1.0,,3.0,4.0,0.2, 9,6.0,4.0,2.0,12.0,1.2
BRIZARD Antoine,4.0,6.0,12.0,22.0,0.8,,6.0,,6.0,0.0,1.0,,1.0,2.0,,,,1.0,1.0,,46.0,,49.0,95.0,9.2,11,3.0,5.0,4.0,12.0,0.6
BOYER Stephen,,,,,,,1.0,,1.0,0.0,,,,,,,,,,,,,1.0,1.0,0.0,12,1.0,,,1.0,0.2
le GOFF Nicolas,,1.0,13.0,14.0,0.0,2.0,8.0,8.0,18.0,0.4,7.0,,4.0,11.0,,,,1.0,1.0,,,,1.0,1.0,0.0,14,,1.0,,1.0,0.0
BULTOR Daryl,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
CLEVENOT Trevor,,3.0,12.0,15.0,0.0,1.0,6.0,,7.0,0.2,10.0,11.0,7.0,28.0,,13.0,,10.0,23.0,56.52,1.0,,4.0,5.0,0.2,17,5.0,2.0,,7.0,1.0
LOUATI Yacine,,,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,19,,,,,
GREBENNIKOV Jenia,,,,,,,,,,,,,,,,10.0,,7.0,17.0,,5.0,,1.0,6.0,1.0, 2,14.0,5.0,4.0,23.0,2.8
TONIUTTI Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
,total,19.0,78.0,106.0,1.8,7.0,35.0,19.0,61.0,1.4,57.0,21.0,43.0,121.0,29.75,42.0,1.0,36.0,79.0,53.16,54.0,,63.0,117.0,10.8,ls,35.0,25.0,15.0,75.0,7.0
