Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
EBADIPOUR GHARA H. Milad,5.0,3.0,8.0,16.0,1.67,1.0,1.0,1,3.0,0.33,6.0,6.0,6.0,18.0,,25.0,1.0,2.0,28.0,89.29,1.0,,3.0,4.0,0.33, 2,2.0,4.0,,6.0,0.67
MAROUFLAKRANI Mir Saeid,,1.0,6.0,7.0,0.0,,2.0,2,4.0,0.0,,,1.0,1.0,,,,1.0,1.0,,28.0,,39.0,67.0,9.33, 4,4.0,1.0,,5.0,1.33
MOUSAVI ERAGHI Seyed Mohammad,,3.0,4.0,7.0,0.0,1.0,3.0,5,9.0,0.33,4.0,3.0,2.0,9.0,,,1.0,,1.0,,,,,,, 6,3.0,,-,3.0,1.0
GHOLAMI Masoud,,,2.0,2.0,0.0,,,-,,,,,1.0,1.0,,,,,,,,,,,, 9,1.0,1.0,,2.0,0.33
GHAFOUR Amir,1.0,4.0,4.0,9.0,0.33,,2.0,3,5.0,0.0,12.0,5.0,8.0,25.0,28.0,,,,,,,,1.0,1.0,0.0,10,3.0,2.0,,5.0,1.0
KAZEMI Saber,,2.0,2.0,4.0,0.0,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,11,,1.0,,1.0,0.0
SHARIFI Morteza,,,,,,,,-,,,,,,,,,,,,,,,,,,12,,,-,,
MOJARAD Aliasghar,,,6.0,6.0,0.0,2.0,7.0,,9.0,0.67,3.0,2.0,3.0,8.0,,,,,,,,,,,,15,5.0,1.0,,6.0,1.67
SALEHI Meisam,,1.0,7.0,8.0,0.0,1.0,3.0,3,7.0,0.33,8.0,3.0,6.0,17.0,29.41,6.0,2.0,4.0,12.0,,1.0,,1.0,2.0,0.33,17,1.0,4.0,,5.0,0.33
MARANDI Mahdi,,,,,,,,-,,,,,,,,12.0,,4.0,16.0,75.0,1.0,,,1.0,0.33,19,4.0,5.0,,9.0,1.33
SALEHI Arman,,,,,,,,-,,,,,,,,,,,,,,,,,,21,,,-,,
KARIMISOUCHELMAEI Javad,,1.0,,1.0,0.0,,,-,,,,,,,,,,,,,,,1.0,1.0,0.0,24,,,-,,
,total,15.0,39.0,60.0,2.0,5.0,19.0,14,38.0,1.67,33.0,19.0,27.0,79.0,17.72,43.0,4.0,11.0,58.0,74.14,31.0,,45.0,76.0,10.33,ls,23.0,19.0,,42.0,7.67
