Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANDERS Tyler,,,10.0,10.0,0.0,1.0,1.0,1.0,3.0,0.33,,,,,,,,,,,30.0,,18.0,48.0,10.0, 1,8.0,,-,8.0,2.67
HOAG Nicholas,3.0,3.0,6.0,12.0,1.0,2.0,,,2.0,0.67,11.0,4.0,7.0,22.0,31.82,8.0,1.0,1.0,10.0,80.0,3.0,,4.0,7.0,1.0, 4,3.0,1.0,,4.0,1.0
MAAR Stephen Timothy,2.0,3.0,6.0,11.0,0.67,3.0,2.0,3.0,8.0,1.0,10.0,1.0,5.0,16.0,56.25,8.0,,6.0,14.0,57.14,1.0,,1.0,2.0,0.33, 7,4.0,5.0,1,10.0,1.33
BLANKENAU Jay,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,9,,,-,,
SCLATER Ryan Joseph,,3.0,4.0,7.0,0.0,,1.0,3.0,4.0,0.0,3.0,1.0,2.0,6.0,,,,,,,,,,,,10,1.0,1.0,,2.0,0.33
van BERKEL Lucas,,1.0,14.0,15.0,0.0,4.0,3.0,3.0,10.0,1.33,5.0,1.0,,6.0,,,,,,,,,1.0,1.0,0.0,12,1.0,1.0,1,3.0,0.33
VERNONEVANS Sharone,,1.0,3.0,4.0,0.0,,,3.0,3.0,0.0,5.0,1.0,3.0,9.0,,,,,,,,,,,,13,,1.0,,1.0,0.0
VIGRASS Graham,1.0,,12.0,13.0,0.33,2.0,5.0,5.0,12.0,0.67,3.0,,2.0,5.0,,1.0,,,1.0,,,,2.0,2.0,0.0,17,2.0,2.0,,4.0,0.67
BANN Blair Cameron,,,,,,,,,,,,,,,,8.0,1.0,3.0,12.0,66.67,3.0,,1.0,4.0,1.0,19,10.0,2.0,,12.0,3.33
PERRIN John Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,-,,
SZWARC Arthur,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,-,,
MARSHALL Steven,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,-,,
,total,12.0,55.0,73.0,2.0,12.0,12.0,18.0,42.0,4.0,37.0,8.0,19.0,64.0,45.31,25.0,2.0,10.0,37.0,67.57,37.0,,27.0,64.0,12.33,ls,29.0,13.0,2,44.0,9.67
