Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VELAZQUEZ ESCALANTE Armando Fernan.,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,1.0,,5.0,6.0,0.33, 1,2.0,,,2.0,0.67
RODRIGUEZ GONZALEZ Emerson Alexand.,1.0,4.0,1.0,6.0,0.33,,1.0,2.0,3.0,0.0,7.0,5.0,9.0,21.0,9.52,,,,,,1.0,,,1.0,0.33, 5,1.0,3.0,,4.0,0.33
ORAMAS BRIZUELA Robert Manuel,,,1.0,1.0,0.0,,,,,,,,,,,,,1.0,1.0,,,,,,,6,,,,,
VALENCIA GONZALEZ Edson Alberto,1.0,2.0,4.0,7.0,0.33,1.0,1.0,3.0,5.0,0.33,5.0,,1.0,6.0,,,1.0,3.0,4.0,,1.0,,2.0,3.0,0.33, 7,3.0,3.0,,6.0,1.0
CARRASCO ANGULO Jose Manuel,,,6.0,6.0,0.0,,1.0,2.0,3.0,0.0,,,,,,,1.0,,1.0,,19.0,1.0,34.0,54.0,6.33, 9,3.0,6.0,,9.0,1.0
VERDI Jose,,1.0,5.0,6.0,0.0,2.0,2.0,2.0,6.0,0.67,2.0,,4.0,6.0,,5.0,,3.0,8.0,,,,,,,11,1.0,,,1.0,0.33
CANELO SANCHEZ Eliecer Alfonso,,2.0,3.0,5.0,0.0,,,,,,,2.0,1.0,3.0,,3.0,1.0,,4.0,,,,1.0,1.0,0.0,14,2.0,,,2.0,0.67
ARIAS GUZMAN Luis Antonio,,1.0,1.0,2.0,0.0,,,,,,1.0,4.0,3.0,8.0,,,,,,,,,1.0,1.0,0.0,15,1.0,1.0,,2.0,0.33
FAYOLA HURTADO Ronald Daniel,,2.0,7.0,9.0,0.0,1.0,2.0,2.0,5.0,0.33,8.0,5.0,5.0,18.0,16.67,12.0,,12.0,24.0,50.0,,,3.0,3.0,0.0,17,5.0,7.0,1.0,13.0,1.67
RIVAS QUIJADA Willner Enrique,,,6.0,6.0,0.0,,4.0,1.0,5.0,0.0,2.0,3.0,9.0,14.0,,2.0,2.0,2.0,6.0,,,,,,,19,2.0,1.0,1.0,4.0,0.67
GONZALEZ Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
MATA Hector,,,,,,,,,,,,,,,,6.0,1.0,6.0,13.0,,2.0,,5.0,7.0,0.67, 4,2.0,5.0,1.0,8.0,0.67
,total,12.0,35.0,49.0,0.67,4.0,11.0,12.0,27.0,1.33,25.0,19.0,32.0,76.0,7.89,28.0,6.0,27.0,61.0,45.9,24.0,1.0,51.0,76.0,8.0,ls,22.0,26.0,3.0,51.0,7.33
