Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
EBADIPOUR GHARA H. Milad,,1.0,11.0,12.0,0.0,2.0,3.0,2.0,7.0,0.67,6.0,4,3.0,13.0,15.38,26.0,,4.0,30.0,86.67,,,2.0,2.0,0.0, 2,3.0,6.0,,9.0,1.0
MAROUFLAKRANI Mir Saeid,,,8.0,8.0,0.0,1.0,,4.0,5.0,0.33,,- 1,1.0,2.0,,,,,,,37.0,,20.0,57.0,12.33, 4,1.0,2.0,,3.0,0.33
GHOLAMI Masoud,,,17.0,17.0,0.0,3.0,2.0,5.0,10.0,1.0,3.0,2,2.0,7.0,,,,1.0,1.0,,,,1.0,1.0,0.0, 9,2.0,1.0,,3.0,0.67
GHAFOUR Amir,2.0,1.0,11.0,14.0,0.67,1.0,3.0,,4.0,0.33,13.0,3,6.0,22.0,45.45,,,,,,,,1.0,1.0,0.0,10,7.0,3.0,,10.0,2.33
KAZEMI Saber,1.0,,2.0,3.0,0.33,,,,,,,-,,,,,,,,,,,,,,11,,1.0,,1.0,0.0
SHARIFI Morteza,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,12,,,-,,
MOJARAD Aliasghar,,2.0,8.0,10.0,0.0,2.0,5.0,3.0,10.0,0.67,4.0,1,,5.0,,,,,,,,,1.0,1.0,0.0,15,1.0,1.0,1,3.0,0.33
SALEHI Meisam,,1.0,8.0,9.0,0.0,1.0,4.0,2.0,7.0,0.33,12.0,,5.0,17.0,70.59,3.0,,2.0,5.0,,1.0,,,1.0,0.33,17,1.0,2.0,,3.0,0.33
MARANDI Mahdi,,,,,,,,,,,,-,,,,6.0,1.0,3.0,10.0,,1.0,,1.0,2.0,0.33,19,4.0,5.0,3,12.0,1.33
SALEHI Arman,,,,,,,,,,,,-,,,,,,,,,,,,,,21,,,-,,
KARIMISOUCHELMAEI Javad,,,,,,,,2.0,2.0,0.0,,-,,,,,,,,,,,1.0,1.0,0.0,24,,,-,,
MOUSAVI ERAGHI Seyed Mohammad,,,,,,,,,,,,-,,,,,,,,,,,,,,6,,,-,,
,total,5.0,65.0,73.0,1.0,10.0,17.0,18.0,45.0,3.33,39.0,11,17.0,67.0,41.79,35.0,1.0,10.0,46.0,76.09,39.0,,27.0,66.0,13.0,ls,19.0,21.0,4,44.0,6.33
