Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VELAZQUEZ ESCALANTE Armando Fernan.,,,4.0,4.0,0.0,,2.0,,2.0,0.0,,,,,,,,,,,11.0,,12.0,23.0,3.67, 1,,1.0,,1.0,0.0
RODRIGUEZ GONZALEZ Emerson Alexand.,,3.0,3.0,6.0,0.0,1.0,1.0,,2.0,0.33,6.0,9.0,2.0,17.0,,,,,,,,,,,, 5,3.0,2.0,2,7.0,1.0
VALENCIA GONZALEZ Edson Alberto,,2.0,4.0,6.0,0.0,,5.0,6.0,11.0,0.0,5.0,3.0,4.0,12.0,,1.0,,,1.0,,,,,,, 7,,,- 1,1.0,0.0
CARRASCO ANGULO Jose Manuel,,1.0,6.0,7.0,0.0,1.0,1.0,2.0,4.0,0.33,1.0,,,1.0,,,,,,,24.0,1.0,29.0,54.0,8.0, 9,1.0,3.0,1,5.0,0.33
VERDI Jose,,,16.0,16.0,0.0,,3.0,1.0,4.0,0.0,7.0,,1.0,8.0,,1.0,,2.0,3.0,,,,,,,11,2.0,2.0,2,6.0,0.67
CANELO SANCHEZ Eliecer Alfonso,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,-,,
ARIAS GUZMAN Luis Antonio,,,1.0,1.0,0.0,,,,,,1.0,2.0,2.0,5.0,,,,,,,,,,,,15,1.0,,- 1,2.0,0.33
FAYOLA HURTADO Ronald Daniel,,3.0,6.0,9.0,0.0,3.0,4.0,1.0,8.0,1.0,5.0,2.0,5.0,12.0,,15.0,2.0,10.0,27.0,55.56,,,1.0,1.0,0.0,17,3.0,3.0,2,8.0,1.0
RIVAS QUIJADA Willner Enrique,1.0,2.0,5.0,8.0,0.33,1.0,3.0,,4.0,0.33,13.0,5.0,8.0,26.0,30.77,18.0,,6.0,24.0,75.0,,,,,,19,1.0,2.0,2,5.0,0.33
GONZALEZ Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,-,,
MATA Hector,,,,,,,,,,,,,,,,7.0,1.0,3.0,11.0,,2.0,,2.0,4.0,0.67, 4,3.0,7.0,,10.0,1.0
ORAMAS BRIZUELA Robert Manuel,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,-,,
,total,11.0,45.0,57.0,0.33,6.0,19.0,10.0,35.0,2.0,38.0,21.0,22.0,81.0,20.99,42.0,3.0,21.0,66.0,63.64,37.0,1.0,44.0,82.0,12.33,ls,14.0,20.0,11,45.0,4.67
