Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANDERS Tyler,,2.0,13.0,15.0,0.0,,2.0,3.0,5.0,0.0,,,,,,,,1.0,1.0,,44.0,,46.0,90.0,8.8, 1,6.0,6.0,3.0,15.0,1.2
PERRIN John Gordon,1.0,3.0,14.0,18.0,0.2,1.0,4.0,3.0,8.0,0.2,15.0,5.0,8.0,28.0,35.71,14.0,,9.0,23.0,60.87,2.0,,1.0,3.0,0.4, 2,6.0,7.0,,13.0,1.2
HOAG Nicholas,,4.0,10.0,14.0,0.0,1.0,4.0,6.0,11.0,0.2,17.0,5.0,17.0,39.0,30.77,15.0,5.0,12.0,32.0,46.88,1.0,,1.0,2.0,0.2, 4,8.0,6.0,1.0,15.0,1.6
MAAR Stephen Timothy,,1.0,,1.0,0.0,,,,,,2.0,1.0,,3.0,,,1.0,,1.0,,,,,,, 7,1.0,,,1.0,0.2
BLANKENAU Jay,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,7.0,,1.0,8.0,1.4,9,,,,,
SCLATER Ryan Joseph,,1.0,8.0,9.0,0.0,,2.0,3.0,5.0,0.0,5.0,4.0,3.0,12.0,,,,,,,,,1.0,1.0,0.0,10,3.0,2.0,,5.0,0.6
van BERKEL Lucas,,1.0,15.0,16.0,0.0,1.0,8.0,5.0,14.0,0.2,9.0,1.0,4.0,14.0,,,,,,,,,1.0,1.0,0.0,12,6.0,2.0,,8.0,1.2
VERNONEVANS Sharone,2.0,2.0,8.0,12.0,0.4,2.0,2.0,1.0,5.0,0.4,8.0,7.0,3.0,18.0,,1.0,,1.0,2.0,,,,,,,13,1.0,2.0,,3.0,0.2
VIGRASS Graham,,1.0,7.0,8.0,0.0,,7.0,8.0,15.0,0.0,6.0,1.0,4.0,11.0,,2.0,,,2.0,,,,,,,17,2.0,1.0,,3.0,0.4
BANN Blair Cameron,,,,,,,,,,,,,,,,12.0,1.0,11.0,24.0,50.0,1.0,,6.0,7.0,0.2,19,3.0,8.0,1.0,12.0,0.6
SZWARC Arthur,1.0,3.0,5.0,9.0,0.2,,2.0,3.0,5.0,0.0,2.0,,,2.0,,,,,,,,,,,,20,1.0,,,1.0,0.2
MARSHALL Steven,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,total,18.0,81.0,103.0,0.8,5.0,31.0,32.0,68.0,1.0,64.0,24.0,39.0,127.0,31.5,44.0,7.0,34.0,85.0,51.76,55.0,,57.0,112.0,11.0,ls,37.0,34.0,5.0,76.0,7.4
