Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VETTORI Luca,,2.0,10.0,12.0,0.0,,5.0,5.0,10.0,0.0,10.0,1.0,5.0,16.0,,,,,,,,,1.0,1.0,0.0, 4,6.0,1.0,2.0,9.0,1.2
JUANTORENA Osmany,,2.0,14.0,16.0,0.0,1.0,7.0,2.0,10.0,0.2,20.0,6.0,12.0,38.0,36.84,18.0,1.0,13.0,32.0,56.25,3.0,,3.0,6.0,0.6, 5,8.0,6.0,4.0,18.0,1.6
GIANNELLI Simone,2.0,4.0,11.0,17.0,0.4,,3.0,3.0,6.0,0.0,2.0,,2.0,4.0,,,,,,,51.0,1.0,42.0,94.0,10.2, 6,2.0,8.0,3.0,13.0,0.4
ZAYTSEV Ivan,1.0,2.0,4.0,7.0,0.2,,4.0,1.0,5.0,0.0,3.0,6.0,4.0,13.0,,,,,,,1.0,,,1.0,0.2, 9,1.0,,1.0,2.0,0.2
PIANO Matteo,,,2.0,2.0,0.0,1.0,1.0,1.0,3.0,0.2,1.0,2.0,1.0,4.0,,,,,,,,,,,,11,,,,,
COLACI Massimo,,,,,,,1.0,1.0,2.0,0.0,,,,,,14.0,2.0,5.0,21.0,66.67,1.0,,3.0,4.0,0.2,13,2.0,10.0,1.0,13.0,0.4
GALASSI Gianluca,,7.0,7.0,14.0,0.0,4.0,2.0,7.0,13.0,0.8,5.0,1.0,2.0,8.0,,,,1.0,1.0,,,,,,,14,1.0,1.0,,2.0,0.2
SBERTOLI Riccardo,,1.0,6.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,15,2.0,,,2.0,0.4
ANZANI Simone,1.0,1.0,9.0,11.0,0.2,1.0,4.0,6.0,11.0,0.2,4.0,1.0,2.0,7.0,,,,,,,,,,,,17,,3.0,1.0,4.0,0.0
MICHIELETTO Alessandro,3.0,4.0,15.0,22.0,0.6,3.0,5.0,4.0,12.0,0.6,18.0,2.0,7.0,27.0,59.26,12.0,1.0,13.0,26.0,46.15,1.0,,2.0,3.0,0.2,18,4.0,2.0,2.0,8.0,0.8
LAVIA Daniele,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,19,,,,,
KOVAR Jiri,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,, 2,1.0,,,1.0,0.2
,total,23.0,79.0,109.0,1.4,10.0,32.0,30.0,72.0,2.0,64.0,19.0,35.0,118.0,38.14,44.0,4.0,33.0,81.0,54.32,57.0,1.0,51.0,109.0,11.4,ls,27.0,31.0,14.0,72.0,5.4
