Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
EBADIPOUR GHARA H. Milad,2.0,3.0,15.0,20.0,0.5,2.0,4.0,2.0,8.0,0.5,8.0,7.0,6.0,21.0,4.76,19.0,3.0,6.0,28.0,67.86,2.0,,1.0,3.0,0.5, 2,6.0,7.0,3,16.0,1.5
MAROUFLAKRANI Mir Saeid,,1.0,8.0,9.0,0.0,,,1.0,1.0,0.0,,,1.0,1.0,,,,2.0,2.0,,22.0,,30.0,52.0,5.5, 4,1.0,3.0,3,7.0,0.25
MOUSAVI ERAGHI Seyed Mohammad,,4.0,11.0,15.0,0.0,2.0,5.0,6.0,13.0,0.5,6.0,2.0,3.0,11.0,,1.0,,1.0,2.0,,2.0,,2.0,4.0,0.5, 6,3.0,1.0,,4.0,0.75
GHAFOUR Amir,1.0,2.0,8.0,11.0,0.25,,2.0,2.0,4.0,0.0,10.0,1.0,13.0,24.0,37.5,,1.0,,1.0,,,,,,,10,1.0,2.0,4,7.0,0.25
KAZEMI Saber,2.0,3.0,7.0,12.0,0.5,,,3.0,3.0,0.0,10.0,1.0,9.0,20.0,45.0,,,,,,,,,,,11,1.0,2.0,,3.0,0.25
SHARIFI Morteza,,1.0,,1.0,0.0,1.0,1.0,2.0,4.0,0.25,1.0,,2.0,3.0,,2.0,,,2.0,,,,1.0,1.0,0.0,12,,,-,,
MOJARAD Aliasghar,,1.0,10.0,11.0,0.0,2.0,5.0,9.0,16.0,0.5,3.0,1.0,2.0,6.0,,1.0,,,1.0,,,,1.0,1.0,0.0,15,,1.0,1,2.0,0.0
SALEHI Meisam,,5.0,7.0,12.0,0.0,1.0,2.0,5.0,8.0,0.25,13.0,7.0,6.0,26.0,23.08,3.0,1.0,10.0,14.0,,,,1.0,1.0,0.0,17,2.0,5.0,3,10.0,0.5
MARANDI Mahdi,,,,,,,,1.0,1.0,0.0,,,,,,14.0,,11.0,25.0,56.0,2.0,,4.0,6.0,0.5,19,7.0,8.0,,15.0,1.75
SALEHI Arman,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,1.0,,,1.0,0.25,21,1.0,3.0,1,5.0,0.25
KARIMISOUCHELMAEI Javad,,2.0,3.0,5.0,0.0,1.0,,2.0,3.0,0.25,1.0,,,1.0,,,,,,,20.0,1.0,13.0,34.0,5.0,24,1.0,4.0,2,7.0,0.25
GHOLAMI Masoud,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,-,,
,total,22.0,69.0,96.0,1.25,9.0,19.0,34.0,62.0,2.25,52.0,19.0,42.0,113.0,29.2,40.0,5.0,30.0,75.0,53.33,49.0,1.0,53.0,103.0,12.25,ls,23.0,36.0,17,76.0,5.75
