No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 5,JUANTORENA Osmany,12.0,3.0,,15.0,3.0,44.0,,42.0,86.0,11.0,20.0,,3.0,23.0,86.96,18.0,1.0,13.0,32.0,53.13,2.0,8.0,3.0,13.0,0.5,3.0,5.0,7.0,15.0,0.75
13,COLACI Massimo,10.0,7.0,,17.0,2.5,2.0,,3.0,5.0,0.5,15.0,3.0,3.0,21.0,71.43,9.0,5.0,8.0,22.0,18.18,2.0,,2.0,4.0,0.5,1.0,2.0,17.0,20.0,0.25
18,MICHIELETTO Alessandro,7.0,4.0,,11.0,1.75,2.0,,1.0,3.0,0.5,14.0,,6.0,20.0,70.0,7.0,6.0,12.0,25.0,4.0,2.0,,1.0,3.0,0.5,1.0,4.0,6.0,11.0,0.25
 6,GIANNELLI Simone,5.0,6.0,3,14.0,1.25,1.0,,3.0,4.0,0.25,1.0,,2.0,3.0,,9.0,1.0,4.0,14.0,,1.0,5.0,11.0,17.0,0.25,,4.0,15.0,19.0,0.0
17,ANZANI Simone,2.0,1.0,,3.0,0.5,1.0,1.0,2.0,4.0,0.25,1.0,1.0,1.0,3.0,,5.0,1.0,1.0,7.0,,1.0,6.0,5.0,12.0,0.25,,,12.0,12.0,0.0
15,SBERTOLI Riccardo,1.0,,-,1.0,0.25,,1.0,1.0,2.0,0.0,,,1.0,1.0,,2.0,2.0,2.0,6.0,,1.0,3.0,2.0,6.0,0.25,,4.0,8.0,12.0,0.0
 9,ZAYTSEV Ivan,,1.0,1,2.0,0.0,,,1.0,1.0,0.0,,,,,,2.0,,1.0,3.0,,1.0,2.0,2.0,5.0,0.25,,2.0,2.0,4.0,0.0
 4,VETTORI Luca,,,- 1,1.0,0.0,,,1.0,1.0,0.0,,,,,,2.0,,,2.0,,,1.0,3.0,4.0,0.0,,,3.0,3.0,0.0
14,GALASSI Gianluca,,1.0,,1.0,0.0,,,1.0,1.0,0.0,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,0.0,,,3.0,3.0,0.0
2,KOVAR Jiri,,,-,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.0,,1.0,,1.0,0.0
11,PIANO Matteo,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LAVIA Daniele,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,37.0,23.0,5,65.0,9.25,50.0,2.0,55.0,107.0,12.5,51.0,4.0,16.0,71.0,71.83,54.0,17.0,42.0,113.0,32.74,10.0,26.0,30.0,66.0,2.5,5.0,22.0,73.0,100.0,1.25
