Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
VETTORI Luca,1.0,3.0,4.0,8.0,0.33,,1.0,4.0,5.0,0.0,7.0,3.0,8.0,18.0,22.22,,,,,,,,,,, 4,4.0,2.0,2,8.0,1.33
JUANTORENA Osmany,1.0,1.0,15.0,17.0,0.33,2.0,1.0,2.0,5.0,0.67,14.0,4.0,2.0,20.0,50.0,11.0,,3.0,14.0,78.57,1.0,,5.0,6.0,0.33, 5,3.0,4.0,1,8.0,1.0
PIANO Matteo,,,14.0,14.0,0.0,5.0,5.0,4.0,14.0,1.67,6.0,,,6.0,,,,,,,1.0,,,1.0,0.33,11,1.0,1.0,1,3.0,0.33
COLACI Massimo,,,,,,,,,,,,,,,,9.0,,3.0,12.0,75.0,2.0,,1.0,3.0,0.67,13,7.0,3.0,,10.0,2.33
GALASSI Gianluca,,3.0,5.0,8.0,0.0,1.0,3.0,2.0,6.0,0.33,3.0,1.0,3.0,7.0,,,,,,,,,,,,14,1.0,,-,1.0,0.33
SBERTOLI Riccardo,,2.0,13.0,15.0,0.0,,2.0,2.0,4.0,0.0,1.0,,,1.0,,,,,,,36.0,,25.0,61.0,12.0,15,5.0,1.0,2,8.0,1.67
ANZANI Simone,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,-,,
MICHIELETTO Alessandro,,1.0,6.0,7.0,0.0,,3.0,,3.0,0.0,7.0,3.0,5.0,15.0,26.67,11.0,,1.0,12.0,91.67,,,,,,18,4.0,3.0,,7.0,1.33
LAVIA Daniele,,3.0,1.0,4.0,0.0,1.0,,1.0,2.0,0.33,8.0,1.0,1.0,10.0,,5.0,,1.0,6.0,,,,1.0,1.0,0.0,19,1.0,,- 1,2.0,0.33
KOVAR Jiri,,,,,,,1.0,,1.0,0.0,,,1.0,1.0,,,,,,,,,,,, 2,1.0,,-,1.0,0.33
GIANNELLI Simone,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,-,,
ZAYTSEV Ivan,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,-,,
,total,13.0,58.0,73.0,0.67,9.0,16.0,15.0,40.0,3.0,46.0,12.0,20.0,78.0,43.59,36.0,,8.0,44.0,81.82,40.0,,32.0,72.0,13.33,ls,27.0,14.0,7,48.0,9.0
