No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
 1,VELAZQUEZ ESCALANTE Armando Fernan.,4.0,1.0,1.0,6.0,1.33,17.0,,15.0,32.0,5.67,13.0,1.0,14.0,28.0,46.43,7.0,4.0,14.0,25.0,12.0,3.0,3.0,6.0,12.0,1.0,,1.0,8.0,9.0,0.0
 4,MATA Hector,3.0,7.0,3.0,13.0,1.0,8.0,,16.0,24.0,2.67,11.0,,3.0,14.0,,6.0,5.0,2.0,13.0,7.69,1.0,4.0,1.0,6.0,0.33,,2.0,7.0,9.0,0.0
19,RIVAS QUIJADA Willner Enrique,2.0,6.0,1.0,9.0,0.67,4.0,,4.0,8.0,1.33,6.0,1.0,,7.0,,5.0,2.0,4.0,11.0,,1.0,3.0,1.0,5.0,0.33,,3.0,4.0,7.0,0.0
 5,RODRIGUEZ GONZALEZ Emerson Alexand.,2.0,1.0,,3.0,0.67,,,2.0,2.0,0.0,4.0,,1.0,5.0,,5.0,2.0,3.0,10.0,,,2.0,,2.0,0.0,,,6.0,6.0,0.0
 9,CARRASCO ANGULO Jose Manuel,2.0,1.0,,3.0,0.67,,,2.0,2.0,0.0,,,2.0,2.0,,4.0,1.0,2.0,7.0,,,1.0,,1.0,0.0,,2.0,4.0,6.0,0.0
 7,VALENCIA GONZALEZ Edson Alberto,1.0,3.0,2.0,6.0,0.33,,,2.0,2.0,0.0,1.0,,,1.0,,1.0,,3.0,4.0,,,1.0,,1.0,0.0,,,5.0,5.0,0.0
15,ARIAS GUZMAN Luis Antonio,1.0,1.0,,2.0,0.33,,,1.0,1.0,0.0,,,,,,2.0,1.0,1.0,4.0,,,1.0,,1.0,0.0,,1.0,4.0,5.0,0.0
11,VERDI Jose,1.0,,,1.0,0.33,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,0.0,,1.0,3.0,4.0,0.0
17,FAYOLA HURTADO Ronald Daniel,,4.0,1.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,4.0,0.0
 3,GONZALEZ Fernando,,2.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0
 6,ORAMAS BRIZUELA Robert Manuel,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
14,CANELO SANCHEZ Eliecer Alfonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,16.0,27.0,8.0,51.0,5.33,29.0,,42.0,71.0,9.67,35.0,2.0,20.0,57.0,61.4,30.0,15.0,30.0,75.0,20.0,5.0,16.0,8.0,29.0,1.67,,11.0,45.0,56.0,0.0
