Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SANDERS Tyler,1.0,,9.0,10.0,0.25,,,,,,,,,,,,,,,,25.0,,21.0,46.0,6.25, 1,1.0,2.0,2.0,5.0,0.25
PERRIN John Gordon,1.0,,16.0,17.0,0.25,1.0,6.0,2.0,9.0,0.25,20.0,2.0,9.0,31.0,58.06,12.0,2.0,11.0,25.0,48.0,1.0,,3.0,4.0,0.25, 2,2.0,4.0,1.0,7.0,0.5
HOAG Nicholas,,- 2,8.0,10.0,0.0,,2.0,3.0,5.0,0.0,7.0,3.0,7.0,17.0,23.53,7.0,,7.0,14.0,,1.0,,,1.0,0.25, 4,7.0,3.0,,10.0,1.75
MAAR Stephen Timothy,,- 2,5.0,7.0,0.0,,1.0,1.0,2.0,0.0,6.0,5.0,7.0,18.0,5.56,14.0,,3.0,17.0,,1.0,,2.0,3.0,0.25, 7,1.0,5.0,,6.0,0.25
BLANKENAU Jay,,-,6.0,6.0,0.0,2.0,4.0,,6.0,0.5,1.0,,,1.0,,1.0,,,1.0,,18.0,1.0,19.0,38.0,4.5, 9,4.0,2.0,,6.0,1.0
SCLATER Ryan Joseph,,- 1,2.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,10,1.0,,,1.0,0.25
van BERKEL Lucas,,- 1,7.0,8.0,0.0,1.0,6.0,8.0,15.0,0.25,6.0,1.0,2.0,9.0,,1.0,,,1.0,,,,1.0,1.0,0.0,12,1.0,1.0,,2.0,0.25
VERNONEVANS Sharone,,- 4,10.0,14.0,0.0,2.0,5.0,3.0,10.0,0.5,10.0,5.0,7.0,22.0,22.73,,,,,,1.0,,1.0,2.0,0.25,13,2.0,4.0,2.0,8.0,0.5
VIGRASS Graham,,- 2,7.0,9.0,0.0,,4.0,2.0,6.0,0.0,3.0,,1.0,4.0,,1.0,,,1.0,,1.0,,,1.0,0.25,17,,,,,
BANN Blair Cameron,,-,,,,,,,,,,,,,,9.0,1.0,5.0,15.0,,4.0,,4.0,8.0,1.0,19,10.0,14.0,4.0,28.0,2.5
SZWARC Arthur,,- 3,5.0,8.0,0.0,,3.0,2.0,5.0,0.0,,1.0,3.0,4.0,,,,,,,1.0,,1.0,2.0,0.25,20,,1.0,,1.0,0.0
MARSHALL Steven,,-,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,total,15,75.0,92.0,0.5,6.0,31.0,21.0,58.0,1.5,53.0,17.0,36.0,106.0,33.96,45.0,3.0,26.0,74.0,60.81,53.0,1.0,52.0,106.0,13.25,ls,29.0,36.0,9.0,74.0,7.25
