No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
20,YAMAMOTO Tomohiro,10.0,8.0,4.0,22.0,2.5,55.0,1.0,39.0,95.0,13.75,13.0,,11.0,24.0,54.17,21.0,3.0,10.0,34.0,52.94,3.0,7.0,7.0,17.0,0.75,2.0,5.0,10.0,17.0,0.5
21,TAKAHASHI Ran,9.0,7.0,,16.0,2.25,7.0,,3.0,10.0,1.75,11.0,1.0,13.0,25.0,44.0,22.0,4.0,14.0,40.0,45.0,,3.0,5.0,8.0,0.0,1.0,2.0,20.0,23.0,0.25
11,NISHIDA Yuji,4.0,1.0,2.0,7.0,1.0,2.0,,1.0,3.0,0.5,14.0,,4.0,18.0,,10.0,6.0,7.0,23.0,17.39,,4.0,4.0,8.0,0.0,,3.0,16.0,19.0,0.0
14,ISHIKAWA Yuki,3.0,6.0,2.0,11.0,0.75,,,2.0,2.0,0.0,1.0,1.0,2.0,4.0,,5.0,,5.0,10.0,,,1.0,6.0,7.0,0.0,,5.0,8.0,13.0,0.0
12,SEKITA Masahiro,1.0,4.0,4.0,9.0,0.25,,,1.0,1.0,0.0,2.0,,1.0,3.0,,6.0,1.0,2.0,9.0,,,4.0,2.0,6.0,0.0,,3.0,9.0,12.0,0.0
 2,ONODERA Taishi,1.0,2.0,1.0,4.0,0.25,,,,,,,,1.0,1.0,,2.0,,1.0,3.0,,,4.0,1.0,5.0,0.0,,4.0,8.0,12.0,0.0
 6,YAMAUCHI Akihiro,1.0,1.0,1.0,3.0,0.25,,,,,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,0.0
15,RI Haku,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,SHIMIZU Kunihiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FUJII Naonobu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,TAKANASHI Kenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,OTSUKA Tatsunori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,29.0,30.0,14.0,73.0,7.25,64.0,1.0,46.0,111.0,16.0,42.0,2.0,32.0,76.0,55.26,67.0,15.0,39.0,121.0,42.98,3.0,23.0,25.0,51.0,0.75,3.0,22.0,72.0,97.0,0.75
