No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
21,SALEHI Arman,7.0,5.0,2.0,14.0,1.4,31.0,,26.0,57.0,6.2,40.0,4.0,13.0,57.0,70.18,23.0,2.0,11.0,36.0,58.33,5.0,6.0,4.0,15.0,1.0,2.0,5.0,19.0,26.0,0.4
17,SALEHI Meisam,7.0,6.0,,13.0,1.4,29.0,,25.0,54.0,5.8,8.0,,8.0,16.0,,12.0,2.0,7.0,21.0,47.62,1.0,4.0,6.0,11.0,0.2,1.0,3.0,13.0,17.0,0.2
 2,EBADIPOUR GHARA H. Milad,6.0,9.0,2.0,17.0,1.2,4.0,,,4.0,0.8,12.0,2.0,1.0,15.0,,10.0,5.0,5.0,20.0,25.0,1.0,4.0,2.0,7.0,0.2,1.0,4.0,10.0,15.0,0.2
19,MARANDI Mahdi,5.0,8.0,,13.0,1.0,3.0,,1.0,4.0,0.6,1.0,,1.0,2.0,,13.0,6.0,13.0,32.0,21.88,1.0,2.0,1.0,4.0,0.2,1.0,4.0,8.0,13.0,0.2
24,KARIMISOUCHELMAEI Javad,3.0,2.0,1.0,6.0,0.6,1.0,,2.0,3.0,0.2,1.0,,,1.0,,8.0,2.0,3.0,13.0,,1.0,1.0,1.0,3.0,0.2,1.0,2.0,7.0,10.0,0.2
11,KAZEMI Saber,3.0,1.0,1.0,5.0,0.6,1.0,,,1.0,0.2,,,1.0,1.0,,6.0,,1.0,7.0,,,1.0,4.0,5.0,0.0,,3.0,12.0,15.0,0.0
 6,MOUSAVI ERAGHI Seyed Mohammad,2.0,4.0,,6.0,0.4,,,3.0,3.0,0.0,,1.0,,1.0,,,,,,,,3.0,2.0,5.0,0.0,,1.0,9.0,10.0,0.0
10,GHAFOUR Amir,2.0,1.0,1.0,4.0,0.4,,,1.0,1.0,0.0,,,,,,,,,,,,1.0,2.0,3.0,0.0,,,5.0,5.0,0.0
15,MOJARAD Aliasghar,1.0,6.0,1.0,8.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
 4,MAROUFLAKRANI Mir Saeid,1.0,2.0,,3.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
9,GHOLAMI Masoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SHARIFI Morteza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,37.0,44.0,8.0,89.0,7.4,69.0,,58.0,127.0,13.8,62.0,7.0,24.0,93.0,66.67,72.0,17.0,40.0,129.0,42.64,9.0,22.0,22.0,53.0,1.8,6.0,22.0,83.0,111.0,1.2
