Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ONODERA Taishi,,3.0,15.0,18.0,0.0,1.0,11.0,3.0,15.0,0.2,3.0,1.0,5.0,9.0,,,,,,,1.0,,1.0,2.0,0.2, 2,5.0,2.0,,7.0,1.0
FUJII Naonobu,,,1.0,1.0,0.0,,1.0,2.0,3.0,0.0,,,,,,,,,,,4.0,,5.0,9.0,0.8, 3,,1.0,,1.0,0.0
YAMAUCHI Akihiro,1.0,1.0,15.0,17.0,0.2,2.0,6.0,2.0,10.0,0.4,6.0,,2.0,8.0,,,,1.0,1.0,,,,1.0,1.0,0.0, 6,2.0,2.0,,4.0,0.4
SHIMIZU Kunihiro,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1,,,,,
NISHIDA Yuji,2.0,7.0,9.0,18.0,0.4,4.0,4.0,4.0,12.0,0.8,24.0,3.0,10.0,37.0,56.76,,,2.0,2.0,,,,2.0,2.0,0.0,11,9.0,4.0,1.0,14.0,1.8
SEKITA Masahiro,,2.0,13.0,15.0,0.0,,6.0,2.0,8.0,0.0,1.0,,2.0,3.0,,,,,,,55.0,,44.0,99.0,11.0,12,5.0,3.0,2.0,10.0,1.0
ISHIKAWA Yuki,4.0,3.0,18.0,25.0,0.8,1.0,7.0,,8.0,0.2,15.0,6.0,16.0,37.0,24.32,21.0,2.0,4.0,27.0,77.78,3.0,,7.0,10.0,0.6,14,6.0,9.0,3.0,18.0,1.2
RI Haku,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
TAKANASHI Kenta,,,4.0,4.0,0.0,,,1.0,1.0,0.0,,,,,,,,,,,1.0,,1.0,2.0,0.2,17,,,,,
OTSUKA Tatsunori,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
YAMAMOTO Tomohiro,,,,,,,,,,,,,,,,16.0,2.0,8.0,26.0,61.54,,,1.0,1.0,0.0,20,15.0,9.0,2.0,26.0,3.0
TAKAHASHI Ran,,3.0,14.0,17.0,0.0,,2.0,1.0,3.0,0.0,19.0,4.0,19.0,42.0,35.71,21.0,2.0,11.0,34.0,61.76,1.0,,,1.0,0.2,21,2.0,3.0,2.0,7.0,0.4
,total,19.0,89.0,115.0,1.4,8.0,37.0,15.0,60.0,1.6,68.0,14.0,54.0,136.0,39.71,58.0,6.0,26.0,90.0,64.44,65.0,,63.0,128.0,13.0,ls,44.0,33.0,10.0,87.0,8.8
