No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
18,MICHIELETTO Alessandro,6.0,,3.0,9.0,1.5,51.0,1.0,29.0,81.0,12.75,10.0,1.0,8.0,19.0,52.63,14.0,1.0,8.0,23.0,56.52,5.0,13.0,10.0,28.0,1.25,1.0,2.0,16.0,19.0,0.25
14,GALASSI Gianluca,4.0,1.0,3.0,8.0,1.0,2.0,,2.0,4.0,0.5,9.0,,10.0,19.0,47.37,19.0,4.0,12.0,35.0,42.86,3.0,5.0,3.0,11.0,0.75,1.0,1.0,16.0,18.0,0.25
13,COLACI Massimo,3.0,6.0,1.0,10.0,0.75,1.0,,2.0,3.0,0.25,11.0,3.0,13.0,27.0,40.74,15.0,5.0,8.0,28.0,35.71,2.0,4.0,8.0,14.0,0.5,1.0,3.0,8.0,12.0,0.25
 9,ZAYTSEV Ivan,3.0,5.0,1.0,9.0,0.75,1.0,,,1.0,0.25,1.0,1.0,,2.0,,8.0,,3.0,11.0,,2.0,5.0,6.0,13.0,0.5,1.0,4.0,6.0,11.0,0.25
 5,JUANTORENA Osmany,2.0,1.0,,3.0,0.5,,,1.0,1.0,0.0,1.0,,,1.0,,6.0,1.0,1.0,8.0,,1.0,1.0,1.0,3.0,0.25,,1.0,15.0,16.0,0.0
 6,GIANNELLI Simone,1.0,5.0,3.0,9.0,0.25,,,1.0,1.0,0.0,,,,,,,,,,,,4.0,2.0,6.0,0.0,,2.0,14.0,16.0,0.0
17,ANZANI Simone,1.0,1.0,2.0,4.0,0.25,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,4.0,5.0,0.0
2,KOVAR Jiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,VETTORI Luca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PIANO Matteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SBERTOLI Riccardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,LAVIA Daniele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,20.0,19.0,13.0,52.0,5.0,55.0,1.0,36.0,92.0,13.75,32.0,5.0,31.0,68.0,47.06,62.0,11.0,32.0,105.0,48.57,13.0,32.0,30.0,75.0,3.25,4.0,14.0,79.0,97.0,1.0
