Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
SHIMIZU Kunihiro,,,3.0,3.0,0.0,,1.0,,1.0,0.0,1.0,,,1.0,,,,,,,,,,,,1,,,,,
ONODERA Taishi,2.0,1.0,11.0,14.0,0.5,1.0,5.0,5.0,11.0,0.25,3.0,2.0,6.0,11.0,,2.0,,3.0,5.0,,,,2.0,2.0,0.0, 2,1.0,3.0,,4.0,0.25
FUJII Naonobu,,,8.0,8.0,0.0,,3.0,1.0,4.0,0.0,,,1.0,1.0,,,,,,,35.0,,29.0,64.0,8.75, 3,,5.0,2.0,7.0,0.0
YAMAUCHI Akihiro,,,3.0,3.0,0.0,,2.0,1.0,3.0,0.0,2.0,2.0,1.0,5.0,,1.0,,3.0,4.0,,,,,,,6,,,,,
NISHIDA Yuji,1.0,5.0,7.0,13.0,0.25,,2.0,3.0,5.0,0.0,17.0,5.0,14.0,36.0,33.33,,,,,,2.0,,1.0,3.0,0.5,11,4.0,4.0,4.0,12.0,1.0
SEKITA Masahiro,,1.0,4.0,5.0,0.0,,,1.0,1.0,0.0,,,1.0,1.0,,,,,,,14.0,,24.0,38.0,3.5,12,1.0,1.0,1.0,3.0,0.25
ISHIKAWA Yuki,1.0,4.0,11.0,16.0,0.25,3.0,5.0,2.0,10.0,0.75,18.0,6.0,15.0,39.0,30.77,9.0,,8.0,17.0,,,,1.0,1.0,0.0,14,6.0,3.0,3.0,12.0,1.5
RI Haku,,1.0,6.0,7.0,0.0,,1.0,4.0,5.0,0.0,3.0,,,3.0,,3.0,,3.0,6.0,,,,1.0,1.0,0.0,15,1.0,1.0,2.0,4.0,0.25
TAKANASHI Kenta,,,8.0,8.0,0.0,1.0,1.0,1.0,3.0,0.25,5.0,1.0,4.0,10.0,,7.0,3.0,6.0,16.0,,1.0,,,1.0,0.25,17,,2.0,2.0,4.0,0.0
OTSUKA Tatsunori,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,1.0,,,1.0,0.25,19,,1.0,,1.0,0.0
YAMAMOTO Tomohiro,,,,,,,,,,,,,,,,9.0,1.0,13.0,23.0,39.13,1.0,,2.0,3.0,0.25,20,7.0,12.0,2.0,21.0,1.75
TAKAHASHI Ran,,2.0,5.0,7.0,0.0,,1.0,1.0,2.0,0.0,5.0,2.0,4.0,11.0,,4.0,,4.0,8.0,,,,1.0,1.0,0.0,21,3.0,6.0,,9.0,0.75
,total,14.0,66.0,84.0,1.0,5.0,21.0,19.0,45.0,1.25,54.0,18.0,47.0,119.0,30.25,35.0,4.0,42.0,81.0,43.21,54.0,,62.0,116.0,13.5,ls,23.0,38.0,16.0,77.0,5.75
