Name,SVP,SVE,SVI,SVA,SV/S,BP,BE,BI,BA,BP/S,AP,AE,AI,AA,AEff%,Rx,RE,RI,RA,RSucc%,STx,STE,STI,STA,STx/S,No.,Dx,DE,DI,DA,Dx/S
ONODERA Taishi,,,11.0,11.0,0.0,2.0,6.0,5.0,13.0,0.67,3.0,,1.0,4.0,,,,1.0,1.0,,,,1.0,1.0,0.0, 2,4.0,3.0,,7.0,1.33
YAMAUCHI Akihiro,,2.0,8.0,10.0,0.0,,5.0,2.0,7.0,0.0,4.0,1.0,,5.0,,,1.0,,1.0,,,,1.0,1.0,0.0, 6,2.0,,1.0,3.0,0.67
SHIMIZU Kunihiro,,,,,,,1.0,,1.0,0.0,,,,,,,,,,,,,,,,1,,,,,
NISHIDA Yuji,,4.0,9.0,13.0,0.0,,3.0,2.0,5.0,0.0,13.0,4.0,7.0,24.0,37.5,1.0,,,1.0,,,,1.0,1.0,0.0,11,4.0,2.0,3.0,9.0,1.33
SEKITA Masahiro,,,12.0,12.0,0.0,2.0,2.0,2.0,6.0,0.67,,,,,,,,1.0,1.0,,33.0,,34.0,67.0,11.0,12,2.0,2.0,,4.0,0.67
ISHIKAWA Yuki,1.0,2.0,8.0,11.0,0.33,2.0,1.0,1.0,4.0,0.67,13.0,3.0,11.0,27.0,37.04,16.0,1.0,10.0,27.0,59.26,1.0,,1.0,2.0,0.33,14,1.0,5.0,,6.0,0.33
RI Haku,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
TAKANASHI Kenta,,1.0,5.0,6.0,0.0,1.0,1.0,,2.0,0.33,1.0,1.0,5.0,7.0,,1.0,,3.0,4.0,,1.0,,,1.0,0.33,17,4.0,4.0,,8.0,1.33
OTSUKA Tatsunori,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
YAMAMOTO Tomohiro,,,,,,,1.0,,1.0,0.0,,,,,,5.0,1.0,6.0,12.0,,,,,,,20,6.0,8.0,2.0,16.0,2.0
TAKAHASHI Ran,,1.0,3.0,4.0,0.0,,1.0,,1.0,0.0,4.0,4.0,3.0,11.0,,6.0,,2.0,8.0,,,,1.0,1.0,0.0,21,2.0,3.0,1.0,6.0,0.67
FUJII Naonobu,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,total,10.0,56.0,67.0,0.33,7.0,21.0,12.0,40.0,2.33,38.0,13.0,27.0,78.0,32.05,29.0,3.0,23.0,55.0,52.73,35.0,,39.0,74.0,11.67,ls,25.0,27.0,7.0,59.0,8.33
