No.,Name,Dx,DE,DI,DA,Dx/S,STx,STE,STI,STA,STx/S,Rx,RE,RI,RA,RSucc%,AP,AE,AI,AA,AEff%,BP,BE,BI,BA,BP/S,SVP,SVE,SVI,SVA,SV/S
17,ZATORSKI Pawel,5.0,4.0,,9.0,1.67,44.0,,26.0,70.0,14.67,9.0,,6.0,15.0,60.0,13.0,1.0,8.0,22.0,54.55,4.0,5.0,3.0,12.0,1.33,2.0,4.0,6.0,12.0,0.67
15,KOCHANOWSKI Jakub,5.0,,- 2,7.0,1.67,1.0,,1.0,2.0,0.33,11.0,,14.0,25.0,44.0,13.0,2.0,7.0,22.0,50.0,4.0,3.0,4.0,11.0,1.33,1.0,,2.0,3.0,0.33
 9,LEON VENERO Wilfredo,4.0,3.0,,7.0,1.33,,,4.0,4.0,0.0,9.0,1.0,4.0,14.0,,9.0,6.0,8.0,23.0,13.04,2.0,1.0,3.0,6.0,0.67,,3.0,13.0,16.0,0.0
11,DRZYZGA Fabian,3.0,8.0,2,13.0,1.0,,,4.0,4.0,0.0,,,1.0,1.0,,7.0,,2.0,9.0,,2.0,2.0,2.0,6.0,0.67,,4.0,8.0,12.0,0.0
 6,KUREK Bartosz,3.0,2.0,,5.0,1.0,,,1.0,1.0,0.0,1.0,,,1.0,,5.0,2.0,1.0,8.0,,,2.0,2.0,4.0,0.0,,,11.0,11.0,0.0
20,BIENIEK Mateusz,2.0,1.0,1,4.0,0.67,,,1.0,1.0,0.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,2.0,3.0,0.0,,2.0,8.0,10.0,0.0
 1,NOWAKOWSKI Piotr,2.0,,-,2.0,0.67,,,,,,,,,,,,,,,,,1.0,2.0,3.0,0.0,,3.0,6.0,9.0,0.0
14,SLIWKA Aleksander,1.0,3.0,2,6.0,0.33,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,0.0
5,KACZMAREK Lukasz,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LOMACZ Grzegorz,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,KUBIAK Michal,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SEMENIUK Kamil,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
ls,total,25.0,21.0,7,53.0,8.33,45.0,,37.0,82.0,15.0,31.0,1.0,25.0,57.0,54.39,48.0,11.0,26.0,85.0,43.53,12.0,15.0,18.0,45.0,4.0,3.0,17.0,56.0,76.0,1.0
